 ,5.09 BN - Rhenusallee ,5.09 BN - Rhenusallee Radfahrer Ri. Beuel ,5.09 BN - Rhenusallee Radfahrer Ri. Oberkassel
2017-09-17-19-45-00,9,7,2
2017-09-17-20-00-00,8,3,5
2017-09-17-20-15-00,1,0,1
2017-09-17-20-30-00,3,3,0
2017-09-17-20-45-00,1,1,0
2017-09-17-21-00-00,4,1,3
2017-09-17-21-15-00,0,0,0
2017-09-17-21-30-00,2,1,1
2017-09-17-21-45-00,2,2,0
2017-09-17-22-00-00,1,1,0
2017-09-17-22-15-00,1,0,1
2017-09-17-22-30-00,0,0,0
2017-09-17-22-45-00,0,0,0
2017-09-17-23-00-00,0,0,0
2017-09-17-23-15-00,1,1,0
2017-09-17-23-30-00,0,0,0
2017-09-17-23-45-00,0,0,0
2017-09-18-00-00-00,1,1,0
2017-09-18-00-15-00,0,0,0
2017-09-18-00-30-00,0,0,0
2017-09-18-00-45-00,0,0,0
2017-09-18-01-00-00,0,0,0
2017-09-18-01-15-00,0,0,0
2017-09-18-01-30-00,0,0,0
2017-09-18-01-45-00,0,0,0
2017-09-18-02-00-00,0,0,0
2017-09-18-02-15-00,0,0,0
2017-09-18-02-30-00,0,0,0
2017-09-18-02-45-00,0,0,0
2017-09-18-03-00-00,0,0,0
2017-09-18-03-15-00,0,0,0
2017-09-18-03-30-00,0,0,0
2017-09-18-03-45-00,0,0,0
2017-09-18-04-00-00,0,0,0
2017-09-18-04-15-00,0,0,0
2017-09-18-04-30-00,0,0,0
2017-09-18-04-45-00,1,0,1
2017-09-18-05-00-00,0,0,0
2017-09-18-05-15-00,1,1,0
2017-09-18-05-30-00,1,1,0
2017-09-18-05-45-00,6,1,5
2017-09-18-06-00-00,5,3,2
2017-09-18-06-15-00,9,6,3
2017-09-18-06-30-00,8,5,3
2017-09-18-06-45-00,10,2,8
2017-09-18-07-00-00,17,8,9
2017-09-18-07-15-00,40,11,29
2017-09-18-07-30-00,35,14,21
2017-09-18-07-45-00,50,14,36
2017-09-18-08-00-00,47,14,33
2017-09-18-08-15-00,42,9,33
2017-09-18-08-30-00,44,10,34
2017-09-18-08-45-00,43,4,39
2017-09-18-09-00-00,32,5,27
2017-09-18-09-15-00,13,2,11
2017-09-18-09-30-00,21,7,14
2017-09-18-09-45-00,9,6,3
2017-09-18-10-00-00,11,2,9
2017-09-18-10-15-00,12,7,5
2017-09-18-10-30-00,20,11,9
2017-09-18-10-45-00,14,11,3
2017-09-18-11-00-00,11,8,3
2017-09-18-11-15-00,9,5,4
2017-09-18-11-30-00,12,10,2
2017-09-18-11-45-00,8,4,4
2017-09-18-12-00-00,8,3,5
2017-09-18-12-15-00,7,3,4
2017-09-18-12-30-00,13,6,7
2017-09-18-12-45-00,12,5,7
2017-09-18-13-00-00,12,7,5
2017-09-18-13-15-00,9,5,4
2017-09-18-13-30-00,13,5,8
2017-09-18-13-45-00,17,7,10
2017-09-18-14-00-00,15,8,7
2017-09-18-14-15-00,7,5,2
2017-09-18-14-30-00,26,18,8
2017-09-18-14-45-00,12,6,6
2017-09-18-15-00-00,14,6,8
2017-09-18-15-15-00,11,7,4
2017-09-18-15-30-00,23,19,4
2017-09-18-15-45-00,11,9,2
2017-09-18-16-00-00,20,13,7
2017-09-18-16-15-00,21,16,5
2017-09-18-16-30-00,37,28,9
2017-09-18-16-45-00,42,29,13
2017-09-18-17-00-00,40,28,12
2017-09-18-17-15-00,47,34,13
2017-09-18-17-30-00,48,36,12
2017-09-18-17-45-00,41,25,16
2017-09-18-18-00-00,39,29,10
2017-09-18-18-15-00,45,32,13
2017-09-18-18-30-00,27,13,14
2017-09-18-18-45-00,27,17,10
2017-09-18-19-00-00,21,14,7
2017-09-18-19-15-00,18,12,6
2017-09-18-19-30-00,15,10,5
2017-09-18-19-45-00,5,5,0
2017-09-18-20-00-00,6,3,3
2017-09-18-20-15-00,5,3,2
2017-09-18-20-30-00,11,7,4
2017-09-18-20-45-00,2,0,2
2017-09-18-21-00-00,0,0,0
2017-09-18-21-15-00,0,0,0
2017-09-18-21-30-00,4,1,3
2017-09-18-21-45-00,5,2,3
2017-09-18-22-00-00,2,1,1
2017-09-18-22-15-00,3,2,1
2017-09-18-22-30-00,1,0,1
2017-09-18-22-45-00,0,0,0
2017-09-18-23-00-00,0,0,0
2017-09-18-23-15-00,1,1,0
2017-09-18-23-30-00,1,0,1
2017-09-18-23-45-00,0,0,0
2017-09-19-00-00-00,0,0,0
2017-09-19-00-15-00,0,0,0
2017-09-19-00-30-00,1,0,1
2017-09-19-00-45-00,0,0,0
2017-09-19-01-00-00,0,0,0
2017-09-19-01-15-00,0,0,0
2017-09-19-01-30-00,0,0,0
2017-09-19-01-45-00,0,0,0
2017-09-19-02-00-00,0,0,0
2017-09-19-02-15-00,0,0,0
2017-09-19-02-30-00,0,0,0
2017-09-19-02-45-00,0,0,0
2017-09-19-03-00-00,1,0,1
2017-09-19-03-15-00,0,0,0
2017-09-19-03-30-00,0,0,0
2017-09-19-03-45-00,0,0,0
2017-09-19-04-00-00,0,0,0
2017-09-19-04-15-00,0,0,0
2017-09-19-04-30-00,0,0,0
2017-09-19-04-45-00,0,0,0
2017-09-19-05-00-00,0,0,0
2017-09-19-05-15-00,0,0,0
2017-09-19-05-30-00,1,1,0
2017-09-19-05-45-00,2,0,2
2017-09-19-06-00-00,6,4,2
2017-09-19-06-15-00,11,3,8
2017-09-19-06-30-00,8,2,6
2017-09-19-06-45-00,13,5,8
2017-09-19-07-00-00,27,10,17
2017-09-19-07-15-00,30,7,23
2017-09-19-07-30-00,42,21,21
2017-09-19-07-45-00,50,10,40
2017-09-19-08-00-00,51,14,37
2017-09-19-08-15-00,47,10,37
2017-09-19-08-30-00,50,5,45
2017-09-19-08-45-00,44,6,38
2017-09-19-09-00-00,27,6,21
2017-09-19-09-15-00,10,2,8
2017-09-19-09-30-00,11,5,6
2017-09-19-09-45-00,7,4,3
2017-09-19-10-00-00,10,4,6
2017-09-19-10-15-00,2,1,1
2017-09-19-10-30-00,11,3,8
2017-09-19-10-45-00,7,4,3
2017-09-19-11-00-00,10,7,3
2017-09-19-11-15-00,8,5,3
2017-09-19-11-30-00,11,5,6
2017-09-19-11-45-00,6,3,3
2017-09-19-12-00-00,10,5,5
2017-09-19-12-15-00,9,4,5
2017-09-19-12-30-00,11,4,7
2017-09-19-12-45-00,10,4,6
2017-09-19-13-00-00,22,13,9
2017-09-19-13-15-00,14,5,9
2017-09-19-13-30-00,12,9,3
2017-09-19-13-45-00,13,8,5
2017-09-19-14-00-00,14,6,8
2017-09-19-14-15-00,18,13,5
2017-09-19-14-30-00,20,11,9
2017-09-19-14-45-00,19,12,7
2017-09-19-15-00-00,9,6,3
2017-09-19-15-15-00,25,13,12
2017-09-19-15-30-00,19,10,9
2017-09-19-15-45-00,33,22,11
2017-09-19-16-00-00,34,21,13
2017-09-19-16-15-00,36,25,11
2017-09-19-16-30-00,36,22,14
2017-09-19-16-45-00,48,32,16
2017-09-19-17-00-00,53,35,18
2017-09-19-17-15-00,60,44,16
2017-09-19-17-30-00,43,30,13
2017-09-19-17-45-00,51,33,18
2017-09-19-18-00-00,56,40,16
2017-09-19-18-15-00,29,20,9
2017-09-19-18-30-00,36,20,16
2017-09-19-18-45-00,33,21,12
2017-09-19-19-00-00,22,15,7
2017-09-19-19-15-00,27,12,15
2017-09-19-19-30-00,15,12,3
2017-09-19-19-45-00,17,14,3
2017-09-19-20-00-00,18,7,11
2017-09-19-20-15-00,8,3,5
2017-09-19-20-30-00,3,1,2
2017-09-19-20-45-00,3,1,2
2017-09-19-21-00-00,7,3,4
2017-09-19-21-15-00,5,2,3
2017-09-19-21-30-00,0,0,0
2017-09-19-21-45-00,5,0,5
2017-09-19-22-00-00,3,0,3
2017-09-19-22-15-00,0,0,0
2017-09-19-22-30-00,3,2,1
2017-09-19-22-45-00,0,0,0
2017-09-19-23-00-00,2,2,0
2017-09-19-23-15-00,1,0,1
2017-09-19-23-30-00,1,0,1
2017-09-19-23-45-00,0,0,0
2017-09-20-00-00-00,0,0,0
2017-09-20-00-15-00,0,0,0
2017-09-20-00-30-00,1,1,0
2017-09-20-00-45-00,0,0,0
2017-09-20-01-00-00,0,0,0
2017-09-20-01-15-00,0,0,0
2017-09-20-01-30-00,0,0,0
2017-09-20-01-45-00,0,0,0
2017-09-20-02-00-00,0,0,0
2017-09-20-02-15-00,0,0,0
2017-09-20-02-30-00,1,0,1
2017-09-20-02-45-00,0,0,0
2017-09-20-03-00-00,0,0,0
2017-09-20-03-15-00,0,0,0
2017-09-20-03-30-00,1,1,0
2017-09-20-03-45-00,0,0,0
2017-09-20-04-00-00,0,0,0
2017-09-20-04-15-00,0,0,0
2017-09-20-04-30-00,0,0,0
2017-09-20-04-45-00,0,0,0
2017-09-20-05-00-00,0,0,0
2017-09-20-05-15-00,0,0,0
2017-09-20-05-30-00,0,0,0
2017-09-20-05-45-00,4,1,3
2017-09-20-06-00-00,4,3,1
2017-09-20-06-15-00,15,6,9
2017-09-20-06-30-00,4,1,3
2017-09-20-06-45-00,17,6,11
2017-09-20-07-00-00,21,6,15
2017-09-20-07-15-00,28,12,16
2017-09-20-07-30-00,32,14,18
2017-09-20-07-45-00,42,9,33
2017-09-20-08-00-00,61,12,49
2017-09-20-08-15-00,35,10,25
2017-09-20-08-30-00,35,6,29
2017-09-20-08-45-00,45,4,41
2017-09-20-09-00-00,21,3,18
2017-09-20-09-15-00,23,2,21
2017-09-20-09-30-00,10,3,7
2017-09-20-09-45-00,14,7,7
2017-09-20-10-00-00,20,5,15
2017-09-20-10-15-00,5,2,3
2017-09-20-10-30-00,8,3,5
2017-09-20-10-45-00,10,4,6
2017-09-20-11-00-00,16,8,8
2017-09-20-11-15-00,12,7,5
2017-09-20-11-30-00,15,8,7
2017-09-20-11-45-00,23,13,10
2017-09-20-12-00-00,12,5,7
2017-09-20-12-15-00,26,9,17
2017-09-20-12-30-00,16,5,11
2017-09-20-12-45-00,20,11,9
2017-09-20-13-00-00,23,9,14
2017-09-20-13-15-00,24,13,11
2017-09-20-13-30-00,20,11,9
2017-09-20-13-45-00,12,7,5
2017-09-20-14-00-00,32,18,14
2017-09-20-14-15-00,23,11,12
2017-09-20-14-30-00,21,12,9
2017-09-20-14-45-00,29,13,16
2017-09-20-15-00-00,21,14,7
2017-09-20-15-15-00,33,20,13
2017-09-20-15-30-00,30,23,7
2017-09-20-15-45-00,31,19,12
2017-09-20-16-00-00,31,19,12
2017-09-20-16-15-00,65,43,22
2017-09-20-16-30-00,51,29,22
2017-09-20-16-45-00,59,39,20
2017-09-20-17-00-00,60,43,17
2017-09-20-17-15-00,83,44,39
2017-09-20-17-30-00,53,44,9
2017-09-20-17-45-00,60,34,26
2017-09-20-18-00-00,50,24,26
2017-09-20-18-15-00,63,38,25
2017-09-20-18-30-00,54,36,18
2017-09-20-18-45-00,66,36,30
2017-09-20-19-00-00,42,27,15
2017-09-20-19-15-00,25,13,12
2017-09-20-19-30-00,24,15,9
2017-09-20-19-45-00,29,20,9
2017-09-20-20-00-00,16,7,9
2017-09-20-20-15-00,6,3,3
2017-09-20-20-30-00,5,5,0
2017-09-20-20-45-00,3,2,1
2017-09-20-21-00-00,13,9,4
2017-09-20-21-15-00,7,5,2
2017-09-20-21-30-00,3,3,0
2017-09-20-21-45-00,5,3,2
2017-09-20-22-00-00,6,3,3
2017-09-20-22-15-00,2,0,2
2017-09-20-22-30-00,2,1,1
2017-09-20-22-45-00,5,2,3
2017-09-20-23-00-00,1,0,1
2017-09-20-23-15-00,2,1,1
2017-09-20-23-30-00,0,0,0
2017-09-20-23-45-00,0,0,0
2017-09-21-00-00-00,0,0,0
2017-09-21-00-15-00,0,0,0
2017-09-21-00-30-00,1,0,1
2017-09-21-00-45-00,0,0,0
2017-09-21-01-00-00,0,0,0
2017-09-21-01-15-00,1,0,1
2017-09-21-01-30-00,2,1,1
2017-09-21-01-45-00,0,0,0
2017-09-21-02-00-00,0,0,0
2017-09-21-02-15-00,1,0,1
2017-09-21-02-30-00,0,0,0
2017-09-21-02-45-00,0,0,0
2017-09-21-03-00-00,0,0,0
2017-09-21-03-15-00,0,0,0
2017-09-21-03-30-00,0,0,0
2017-09-21-03-45-00,0,0,0
2017-09-21-04-00-00,0,0,0
2017-09-21-04-15-00,0,0,0
2017-09-21-04-30-00,0,0,0
2017-09-21-04-45-00,0,0,0
2017-09-21-05-00-00,1,0,1
2017-09-21-05-15-00,0,0,0
2017-09-21-05-30-00,1,0,1
2017-09-21-05-45-00,4,2,2
2017-09-21-06-00-00,7,3,4
2017-09-21-06-15-00,17,10,7
2017-09-21-06-30-00,10,4,6
2017-09-21-06-45-00,13,4,9
2017-09-21-07-00-00,23,8,15
2017-09-21-07-15-00,37,12,25
2017-09-21-07-30-00,37,14,23
2017-09-21-07-45-00,50,18,32
2017-09-21-08-00-00,52,10,42
2017-09-21-08-15-00,67,22,45
2017-09-21-08-30-00,57,11,46
2017-09-21-08-45-00,52,6,46
2017-09-21-09-00-00,34,9,25
2017-09-21-09-15-00,18,5,13
2017-09-21-09-30-00,13,2,11
2017-09-21-09-45-00,15,8,7
2017-09-21-10-00-00,13,3,10
2017-09-21-10-15-00,19,7,12
2017-09-21-10-30-00,18,10,8
2017-09-21-10-45-00,25,15,10
2017-09-21-11-00-00,28,11,17
2017-09-21-11-15-00,21,11,10
2017-09-21-11-30-00,29,10,19
2017-09-21-11-45-00,25,8,17
2017-09-21-12-00-00,32,13,19
2017-09-21-12-15-00,40,23,17
2017-09-21-12-30-00,34,17,17
2017-09-21-12-45-00,32,11,21
2017-09-21-13-00-00,39,26,13
2017-09-21-13-15-00,44,24,20
2017-09-21-13-30-00,39,18,21
2017-09-21-13-45-00,61,24,37
2017-09-21-14-00-00,56,25,31
2017-09-21-14-15-00,59,33,26
2017-09-21-14-30-00,56,32,24
2017-09-21-14-45-00,63,34,29
2017-09-21-15-00-00,63,33,30
2017-09-21-15-15-00,63,38,25
2017-09-21-15-30-00,60,38,22
2017-09-21-15-45-00,68,32,36
2017-09-21-16-00-00,66,40,26
2017-09-21-16-15-00,71,44,27
2017-09-21-16-30-00,70,52,18
2017-09-21-16-45-00,98,58,40
2017-09-21-17-00-00,98,67,31
2017-09-21-17-15-00,92,59,33
2017-09-21-17-30-00,91,65,26
2017-09-21-17-45-00,95,67,28
2017-09-21-18-00-00,71,44,27
2017-09-21-18-15-00,60,40,20
2017-09-21-18-30-00,60,39,21
2017-09-21-18-45-00,54,30,24
2017-09-21-19-00-00,68,35,33
2017-09-21-19-15-00,40,25,15
2017-09-21-19-30-00,35,20,15
2017-09-21-19-45-00,38,19,19
2017-09-21-20-00-00,13,4,9
2017-09-21-20-15-00,7,3,4
2017-09-21-20-30-00,17,11,6
2017-09-21-20-45-00,7,4,3
2017-09-21-21-00-00,5,1,4
2017-09-21-21-15-00,10,5,5
2017-09-21-21-30-00,7,2,5
2017-09-21-21-45-00,5,3,2
2017-09-21-22-00-00,8,2,6
2017-09-21-22-15-00,1,1,0
2017-09-21-22-30-00,5,1,4
2017-09-21-22-45-00,2,2,0
2017-09-21-23-00-00,2,2,0
2017-09-21-23-15-00,0,0,0
2017-09-21-23-30-00,0,0,0
2017-09-21-23-45-00,1,0,1
2017-09-22-00-00-00,0,0,0
2017-09-22-00-15-00,1,0,1
2017-09-22-00-30-00,0,0,0
2017-09-22-00-45-00,0,0,0
2017-09-22-01-00-00,1,1,0
2017-09-22-01-15-00,1,1,0
2017-09-22-01-30-00,0,0,0
2017-09-22-01-45-00,1,1,0
2017-09-22-02-00-00,0,0,0
2017-09-22-02-15-00,0,0,0
2017-09-22-02-30-00,0,0,0
2017-09-22-02-45-00,0,0,0
2017-09-22-03-00-00,0,0,0
2017-09-22-03-15-00,0,0,0
2017-09-22-03-30-00,0,0,0
2017-09-22-03-45-00,0,0,0
2017-09-22-04-00-00,1,1,0
2017-09-22-04-15-00,0,0,0
2017-09-22-04-30-00,0,0,0
2017-09-22-04-45-00,0,0,0
2017-09-22-05-00-00,0,0,0
2017-09-22-05-15-00,0,0,0
2017-09-22-05-30-00,0,0,0
2017-09-22-05-45-00,1,0,1
2017-09-22-06-00-00,5,3,2
2017-09-22-06-15-00,6,3,3
2017-09-22-06-30-00,12,5,7
2017-09-22-06-45-00,12,5,7
2017-09-22-07-00-00,22,5,17
2017-09-22-07-15-00,31,8,23
2017-09-22-07-30-00,36,15,21
2017-09-22-07-45-00,47,15,32
2017-09-22-08-00-00,42,8,34
2017-09-22-08-15-00,37,12,25
2017-09-22-08-30-00,41,8,33
2017-09-22-08-45-00,47,5,42
2017-09-22-09-00-00,23,3,20
2017-09-22-09-15-00,22,5,17
2017-09-22-09-30-00,20,8,12
2017-09-22-09-45-00,23,16,7
2017-09-22-10-00-00,34,18,16
2017-09-22-10-15-00,15,10,5
2017-09-22-10-30-00,34,20,14
2017-09-22-10-45-00,26,14,12
2017-09-22-11-00-00,20,13,7
2017-09-22-11-15-00,24,6,18
2017-09-22-11-30-00,19,9,10
2017-09-22-11-45-00,28,10,18
2017-09-22-12-00-00,33,19,14
2017-09-22-12-15-00,31,9,22
2017-09-22-12-30-00,38,16,22
2017-09-22-12-45-00,31,16,15
2017-09-22-13-00-00,63,35,28
2017-09-22-13-15-00,50,33,17
2017-09-22-13-30-00,34,15,19
2017-09-22-13-45-00,34,21,13
2017-09-22-14-00-00,37,18,19
2017-09-22-14-15-00,53,33,20
2017-09-22-14-30-00,71,38,33
2017-09-22-14-45-00,43,24,19
2017-09-22-15-00-00,63,35,28
2017-09-22-15-15-00,59,45,14
2017-09-22-15-30-00,59,29,30
2017-09-22-15-45-00,56,38,18
2017-09-22-16-00-00,61,34,27
2017-09-22-16-15-00,67,41,26
2017-09-22-16-30-00,71,39,32
2017-09-22-16-45-00,52,37,15
2017-09-22-17-00-00,46,31,15
2017-09-22-17-15-00,75,56,19
2017-09-22-17-30-00,42,24,18
2017-09-22-17-45-00,44,27,17
2017-09-22-18-00-00,32,18,14
2017-09-22-18-15-00,38,19,19
2017-09-22-18-30-00,20,18,2
2017-09-22-18-45-00,32,20,12
2017-09-22-19-00-00,33,22,11
2017-09-22-19-15-00,26,12,14
2017-09-22-19-30-00,10,6,4
2017-09-22-19-45-00,16,6,10
2017-09-22-20-00-00,12,6,6
2017-09-22-20-15-00,6,3,3
2017-09-22-20-30-00,3,3,0
2017-09-22-20-45-00,10,5,5
2017-09-22-21-00-00,6,3,3
2017-09-22-21-15-00,5,3,2
2017-09-22-21-30-00,4,0,4
2017-09-22-21-45-00,6,5,1
2017-09-22-22-00-00,7,4,3
2017-09-22-22-15-00,4,2,2
2017-09-22-22-30-00,3,0,3
2017-09-22-22-45-00,1,1,0
2017-09-22-23-00-00,1,1,0
2017-09-22-23-15-00,0,0,0
2017-09-22-23-30-00,2,1,1
2017-09-22-23-45-00,1,0,1
2017-09-23-00-00-00,4,2,2
2017-09-23-00-15-00,1,0,1
2017-09-23-00-30-00,3,3,0
2017-09-23-00-45-00,2,0,2
2017-09-23-01-00-00,3,2,1
2017-09-23-01-15-00,0,0,0
2017-09-23-01-30-00,0,0,0
2017-09-23-01-45-00,2,1,1
2017-09-23-02-00-00,1,0,1
2017-09-23-02-15-00,2,2,0
2017-09-23-02-30-00,0,0,0
2017-09-23-02-45-00,0,0,0
2017-09-23-03-00-00,1,1,0
2017-09-23-03-15-00,0,0,0
2017-09-23-03-30-00,1,0,1
2017-09-23-03-45-00,1,0,1
2017-09-23-04-00-00,0,0,0
2017-09-23-04-15-00,1,0,1
2017-09-23-04-30-00,0,0,0
2017-09-23-04-45-00,0,0,0
2017-09-23-05-00-00,0,0,0
2017-09-23-05-15-00,1,0,1
2017-09-23-05-30-00,0,0,0
2017-09-23-05-45-00,0,0,0
2017-09-23-06-00-00,0,0,0
2017-09-23-06-15-00,4,1,3
2017-09-23-06-30-00,1,1,0
2017-09-23-06-45-00,0,0,0
2017-09-23-07-00-00,0,0,0
2017-09-23-07-15-00,1,1,0
2017-09-23-07-30-00,2,0,2
2017-09-23-07-45-00,7,4,3
2017-09-23-08-00-00,5,1,4
2017-09-23-08-15-00,14,8,6
2017-09-23-08-30-00,11,5,6
2017-09-23-08-45-00,13,8,5
2017-09-23-09-00-00,23,11,12
2017-09-23-09-15-00,17,7,10
2017-09-23-09-30-00,21,12,9
2017-09-23-09-45-00,16,8,8
2017-09-23-10-00-00,17,8,9
2017-09-23-10-15-00,21,11,10
2017-09-23-10-30-00,17,10,7
2017-09-23-10-45-00,40,21,19
2017-09-23-11-00-00,24,11,13
2017-09-23-11-15-00,40,14,26
2017-09-23-11-30-00,45,14,31
2017-09-23-11-45-00,30,13,17
2017-09-23-12-00-00,57,22,35
2017-09-23-12-15-00,45,18,27
2017-09-23-12-30-00,34,12,22
2017-09-23-12-45-00,31,15,16
2017-09-23-13-00-00,59,24,35
2017-09-23-13-15-00,41,25,16
2017-09-23-13-30-00,48,19,29
2017-09-23-13-45-00,47,24,23
2017-09-23-14-00-00,59,30,29
2017-09-23-14-15-00,53,22,31
2017-09-23-14-30-00,69,35,34
2017-09-23-14-45-00,66,33,33
2017-09-23-15-00-00,57,24,33
2017-09-23-15-15-00,92,48,44
2017-09-23-15-30-00,90,50,40
2017-09-23-15-45-00,66,30,36
2017-09-23-16-00-00,68,28,40
2017-09-23-16-15-00,95,41,54
2017-09-23-16-30-00,82,50,32
2017-09-23-16-45-00,65,44,21
2017-09-23-17-00-00,60,36,24
2017-09-23-17-15-00,67,37,30
2017-09-23-17-30-00,87,70,17
2017-09-23-17-45-00,52,28,24
2017-09-23-18-00-00,50,29,21
2017-09-23-18-15-00,56,35,21
2017-09-23-18-30-00,29,23,6
2017-09-23-18-45-00,38,22,16
2017-09-23-19-00-00,23,14,9
2017-09-23-19-15-00,40,17,23
2017-09-23-19-30-00,18,10,8
2017-09-23-19-45-00,16,13,3
2017-09-23-20-00-00,18,14,4
2017-09-23-20-15-00,2,1,1
2017-09-23-20-30-00,7,6,1
2017-09-23-20-45-00,3,3,0
2017-09-23-21-00-00,2,0,2
2017-09-23-21-15-00,2,2,0
2017-09-23-21-30-00,5,5,0
2017-09-23-21-45-00,4,2,2
2017-09-23-22-00-00,4,0,4
2017-09-23-22-15-00,1,1,0
2017-09-23-22-30-00,2,2,0
2017-09-23-22-45-00,3,0,3
2017-09-23-23-00-00,3,3,0
2017-09-23-23-15-00,2,0,2
2017-09-23-23-30-00,0,0,0
2017-09-23-23-45-00,2,2,0
2017-09-24-00-00-00,1,0,1
2017-09-24-00-15-00,0,0,0
2017-09-24-00-30-00,0,0,0
2017-09-24-00-45-00,1,1,0
2017-09-24-01-00-00,2,0,2
2017-09-24-01-15-00,2,2,0
2017-09-24-01-30-00,0,0,0
2017-09-24-01-45-00,0,0,0
2017-09-24-02-00-00,0,0,0
2017-09-24-02-15-00,1,1,0
2017-09-24-02-30-00,0,0,0
2017-09-24-02-45-00,0,0,0
2017-09-24-03-00-00,0,0,0
2017-09-24-03-15-00,1,0,1
2017-09-24-03-30-00,0,0,0
2017-09-24-03-45-00,0,0,0
2017-09-24-04-00-00,0,0,0
2017-09-24-04-15-00,0,0,0
2017-09-24-04-30-00,0,0,0
2017-09-24-04-45-00,0,0,0
2017-09-24-05-00-00,0,0,0
2017-09-24-05-15-00,0,0,0
2017-09-24-05-30-00,0,0,0
2017-09-24-05-45-00,0,0,0
2017-09-24-06-00-00,0,0,0
2017-09-24-06-15-00,0,0,0
2017-09-24-06-30-00,0,0,0
2017-09-24-06-45-00,2,1,1
2017-09-24-07-00-00,2,1,1
2017-09-24-07-15-00,4,2,2
2017-09-24-07-30-00,0,0,0
2017-09-24-07-45-00,4,3,1
2017-09-24-08-00-00,8,6,2
2017-09-24-08-15-00,2,1,1
2017-09-24-08-30-00,17,6,11
2017-09-24-08-45-00,12,4,8
2017-09-24-09-00-00,13,9,4
2017-09-24-09-15-00,17,6,11
2017-09-24-09-30-00,11,2,9
2017-09-24-09-45-00,17,5,12
2017-09-24-10-00-00,23,11,12
2017-09-24-10-15-00,29,5,24
2017-09-24-10-30-00,30,8,22
2017-09-24-10-45-00,34,17,17
2017-09-24-11-00-00,36,17,19
2017-09-24-11-15-00,18,8,10
2017-09-24-11-30-00,38,12,26
2017-09-24-11-45-00,48,18,30
2017-09-24-12-00-00,44,19,25
2017-09-24-12-15-00,70,29,41
2017-09-24-12-30-00,40,11,29
2017-09-24-12-45-00,52,20,32
2017-09-24-13-00-00,76,12,64
2017-09-24-13-15-00,96,47,49
2017-09-24-13-30-00,70,28,42
2017-09-24-13-45-00,80,34,46
2017-09-24-14-00-00,111,52,59
2017-09-24-14-15-00,118,64,54
2017-09-24-14-30-00,114,63,51
2017-09-24-14-45-00,103,57,46
2017-09-24-15-00-00,119,50,69
2017-09-24-15-15-00,124,51,73
2017-09-24-15-30-00,115,66,49
2017-09-24-15-45-00,77,44,33
2017-09-24-16-00-00,95,46,49
2017-09-24-16-15-00,99,61,38
2017-09-24-16-30-00,121,73,48
2017-09-24-16-45-00,99,70,29
2017-09-24-17-00-00,98,66,32
2017-09-24-17-15-00,108,79,29
2017-09-24-17-30-00,99,58,41
2017-09-24-17-45-00,56,34,22
2017-09-24-18-00-00,48,38,10
2017-09-24-18-15-00,40,18,22
2017-09-24-18-30-00,46,26,20
2017-09-24-18-45-00,24,14,10
2017-09-24-19-00-00,26,18,8
2017-09-24-19-15-00,25,13,12
2017-09-24-19-30-00,14,10,4
2017-09-24-19-45-00,23,14,9
2017-09-24-20-00-00,12,10,2
2017-09-24-20-15-00,14,6,8
2017-09-24-20-30-00,7,5,2
2017-09-24-20-45-00,2,2,0
2017-09-24-21-00-00,1,1,0
2017-09-24-21-15-00,8,3,5
2017-09-24-21-30-00,3,3,0
2017-09-24-21-45-00,4,4,0
2017-09-24-22-00-00,2,2,0
2017-09-24-22-15-00,3,2,1
2017-09-24-22-30-00,2,1,1
2017-09-24-22-45-00,1,1,0
2017-09-24-23-00-00,0,0,0
2017-09-24-23-15-00,0,0,0
2017-09-24-23-30-00,0,0,0
2017-09-24-23-45-00,0,0,0
2017-09-25-00-00-00,0,0,0
2017-09-25-00-15-00,0,0,0
2017-09-25-00-30-00,1,0,1
2017-09-25-00-45-00,0,0,0
2017-09-25-01-00-00,0,0,0
2017-09-25-01-15-00,0,0,0
2017-09-25-01-30-00,0,0,0
2017-09-25-01-45-00,2,0,2
2017-09-25-02-00-00,0,0,0
2017-09-25-02-15-00,0,0,0
2017-09-25-02-30-00,0,0,0
2017-09-25-02-45-00,0,0,0
2017-09-25-03-00-00,0,0,0
2017-09-25-03-15-00,0,0,0
2017-09-25-03-30-00,0,0,0
2017-09-25-03-45-00,0,0,0
2017-09-25-04-00-00,0,0,0
2017-09-25-04-15-00,0,0,0
2017-09-25-04-30-00,0,0,0
2017-09-25-04-45-00,3,1,2
2017-09-25-05-00-00,0,0,0
2017-09-25-05-15-00,1,0,1
2017-09-25-05-30-00,3,1,2
2017-09-25-05-45-00,4,2,2
2017-09-25-06-00-00,5,0,5
2017-09-25-06-15-00,5,2,3
2017-09-25-06-30-00,12,6,6
2017-09-25-06-45-00,15,7,8
2017-09-25-07-00-00,17,2,15
2017-09-25-07-15-00,41,14,27
2017-09-25-07-30-00,54,24,30
2017-09-25-07-45-00,47,13,34
2017-09-25-08-00-00,53,19,34
2017-09-25-08-15-00,53,19,34
2017-09-25-08-30-00,55,16,39
2017-09-25-08-45-00,59,10,49
2017-09-25-09-00-00,32,10,22
2017-09-25-09-15-00,26,5,21
2017-09-25-09-30-00,22,5,17
2017-09-25-09-45-00,16,4,12
2017-09-25-10-00-00,13,9,4
2017-09-25-10-15-00,7,1,6
2017-09-25-10-30-00,7,1,6
