 ,5.09 BN - Rhenusallee ,5.09 BN - Rhenusallee Radfahrer Ri. Beuel ,5.09 BN - Rhenusallee Radfahrer Ri. Oberkassel
2015-05-20-08-30-00,57,16,41
2015-05-20-08-45-00,51,11,40
2015-05-20-09-00-00,35,8,27
2015-05-20-09-15-00,29,9,20
2015-05-20-09-30-00,20,9,11
2015-05-20-09-45-00,15,6,9
2015-05-20-10-00-00,19,8,11
2015-05-20-10-15-00,19,9,10
2015-05-20-10-30-00,15,8,7
2015-05-20-10-45-00,14,7,7
2015-05-20-11-00-00,18,9,9
2015-05-20-11-15-00,12,3,9
2015-05-20-11-30-00,18,12,6
2015-05-20-11-45-00,9,5,4
2015-05-20-12-00-00,20,12,8
2015-05-20-12-15-00,15,7,8
2015-05-20-12-30-00,16,3,13
2015-05-20-12-45-00,20,6,14
2015-05-20-13-00-00,21,9,12
2015-05-20-13-15-00,14,7,7
2015-05-20-13-30-00,16,10,6
2015-05-20-13-45-00,19,11,8
2015-05-20-14-00-00,17,10,7
2015-05-20-14-15-00,15,9,6
2015-05-20-14-30-00,27,14,13
2015-05-20-14-45-00,15,8,7
2015-05-20-15-00-00,49,26,23
2015-05-20-15-15-00,27,12,15
2015-05-20-15-30-00,24,13,11
2015-05-20-15-45-00,32,22,10
2015-05-20-16-00-00,39,22,17
2015-05-20-16-15-00,44,28,16
2015-05-20-16-30-00,41,25,16
2015-05-20-16-45-00,30,20,10
2015-05-20-17-00-00,39,23,16
2015-05-20-17-15-00,61,41,20
2015-05-20-17-30-00,40,29,11
2015-05-20-17-45-00,50,35,15
2015-05-20-18-00-00,51,37,14
2015-05-20-18-15-00,44,29,15
2015-05-20-18-30-00,41,32,9
2015-05-20-18-45-00,60,41,19
2015-05-20-19-00-00,57,37,20
2015-05-20-19-15-00,40,22,18
2015-05-20-19-30-00,42,25,17
2015-05-20-19-45-00,45,18,27
2015-05-20-20-00-00,28,14,14
2015-05-20-20-15-00,21,5,16
2015-05-20-20-30-00,24,12,12
2015-05-20-20-45-00,20,15,5
2015-05-20-21-00-00,8,6,2
2015-05-20-21-15-00,8,8,0
2015-05-20-21-30-00,16,8,8
2015-05-20-21-45-00,11,8,3
2015-05-20-22-00-00,3,1,2
2015-05-20-22-15-00,7,2,5
2015-05-20-22-30-00,3,2,1
2015-05-20-22-45-00,6,4,2
2015-05-20-23-00-00,3,3,0
2015-05-20-23-15-00,1,0,1
2015-05-20-23-30-00,1,1,0
2015-05-20-23-45-00,0,0,0
2015-05-21-00-00-00,2,0,2
2015-05-21-00-15-00,0,0,0
2015-05-21-00-30-00,2,1,1
2015-05-21-00-45-00,0,0,0
2015-05-21-01-00-00,0,0,0
2015-05-21-01-15-00,0,0,0
2015-05-21-01-30-00,0,0,0
2015-05-21-01-45-00,0,0,0
2015-05-21-02-00-00,1,1,0
2015-05-21-02-15-00,0,0,0
2015-05-21-02-30-00,0,0,0
2015-05-21-02-45-00,0,0,0
2015-05-21-03-00-00,0,0,0
2015-05-21-03-15-00,1,0,1
2015-05-21-03-30-00,0,0,0
2015-05-21-03-45-00,0,0,0
2015-05-21-04-00-00,0,0,0
2015-05-21-04-15-00,0,0,0
2015-05-21-04-30-00,1,0,1
2015-05-21-04-45-00,0,0,0
2015-05-21-05-00-00,0,0,0
2015-05-21-05-15-00,3,3,0
2015-05-21-05-30-00,2,0,2
2015-05-21-05-45-00,1,0,1
2015-05-21-06-00-00,6,3,3
2015-05-21-06-15-00,13,4,9
2015-05-21-06-30-00,11,4,7
2015-05-21-06-45-00,19,9,10
2015-05-21-07-00-00,16,4,12
2015-05-21-07-15-00,43,15,28
2015-05-21-07-30-00,48,19,29
2015-05-21-07-45-00,55,13,42
2015-05-21-08-00-00,56,16,40
2015-05-21-08-15-00,65,16,49
2015-05-21-08-30-00,64,12,52
2015-05-21-08-45-00,49,8,41
2015-05-21-09-00-00,32,9,23
2015-05-21-09-15-00,26,6,20
2015-05-21-09-30-00,11,6,5
2015-05-21-09-45-00,17,7,10
2015-05-21-10-00-00,22,9,13
2015-05-21-10-15-00,23,12,11
2015-05-21-10-30-00,12,7,5
2015-05-21-10-45-00,24,15,9
2015-05-21-11-00-00,25,8,17
2015-05-21-11-15-00,20,12,8
2015-05-21-11-30-00,19,10,9
2015-05-21-11-45-00,20,11,9
2015-05-21-12-00-00,16,9,7
2015-05-21-12-15-00,21,10,11
2015-05-21-12-30-00,19,10,9
2015-05-21-12-45-00,24,18,6
2015-05-21-13-00-00,40,17,23
2015-05-21-13-15-00,26,9,17
2015-05-21-13-30-00,23,12,11
2015-05-21-13-45-00,25,9,16
2015-05-21-14-00-00,34,22,12
2015-05-21-14-15-00,34,26,8
2015-05-21-14-30-00,41,22,19
2015-05-21-14-45-00,32,16,16
2015-05-21-15-00-00,29,13,16
2015-05-21-15-15-00,39,17,22
2015-05-21-15-30-00,38,24,14
2015-05-21-15-45-00,37,28,9
2015-05-21-16-00-00,55,37,18
2015-05-21-16-15-00,57,34,23
2015-05-21-16-30-00,55,35,20
2015-05-21-16-45-00,80,48,32
2015-05-21-17-00-00,55,36,19
2015-05-21-17-15-00,78,53,25
2015-05-21-17-30-00,49,32,17
2015-05-21-17-45-00,75,49,26
2015-05-21-18-00-00,62,41,21
2015-05-21-18-15-00,56,43,13
2015-05-21-18-30-00,60,34,26
2015-05-21-18-45-00,37,22,15
2015-05-21-19-00-00,51,33,18
2015-05-21-19-15-00,42,25,17
2015-05-21-19-30-00,45,31,14
2015-05-21-19-45-00,36,17,19
2015-05-21-20-00-00,26,17,9
2015-05-21-20-15-00,23,15,8
2015-05-21-20-30-00,22,14,8
2015-05-21-20-45-00,13,9,4
2015-05-21-21-00-00,12,8,4
2015-05-21-21-15-00,12,6,6
2015-05-21-21-30-00,12,2,10
2015-05-21-21-45-00,7,3,4
2015-05-21-22-00-00,4,1,3
2015-05-21-22-15-00,5,3,2
2015-05-21-22-30-00,4,0,4
2015-05-21-22-45-00,6,4,2
2015-05-21-23-00-00,4,4,0
2015-05-21-23-15-00,1,0,1
2015-05-21-23-30-00,4,1,3
2015-05-21-23-45-00,1,0,1
2015-05-22-00-00-00,1,0,1
2015-05-22-00-15-00,0,0,0
2015-05-22-00-30-00,0,0,0
2015-05-22-00-45-00,0,0,0
2015-05-22-01-00-00,0,0,0
2015-05-22-01-15-00,2,0,2
2015-05-22-01-30-00,0,0,0
2015-05-22-01-45-00,0,0,0
2015-05-22-02-00-00,0,0,0
2015-05-22-02-15-00,0,0,0
2015-05-22-02-30-00,0,0,0
2015-05-22-02-45-00,1,0,1
2015-05-22-03-00-00,0,0,0
2015-05-22-03-15-00,0,0,0
2015-05-22-03-30-00,0,0,0
2015-05-22-03-45-00,0,0,0
2015-05-22-04-00-00,0,0,0
2015-05-22-04-15-00,0,0,0
2015-05-22-04-30-00,0,0,0
2015-05-22-04-45-00,0,0,0
2015-05-22-05-00-00,2,0,2
2015-05-22-05-15-00,1,1,0
2015-05-22-05-30-00,2,1,1
2015-05-22-05-45-00,4,1,3
2015-05-22-06-00-00,1,0,1
2015-05-22-06-15-00,12,4,8
2015-05-22-06-30-00,10,3,7
2015-05-22-06-45-00,28,13,15
2015-05-22-07-00-00,23,11,12
2015-05-22-07-15-00,30,10,20
2015-05-22-07-30-00,52,18,34
2015-05-22-07-45-00,42,14,28
2015-05-22-08-00-00,44,13,31
2015-05-22-08-15-00,47,10,37
2015-05-22-08-30-00,52,12,40
2015-05-22-08-45-00,44,6,38
2015-05-22-09-00-00,26,8,18
2015-05-22-09-15-00,22,11,11
2015-05-22-09-30-00,14,9,5
2015-05-22-09-45-00,19,9,10
2015-05-22-10-00-00,24,14,10
2015-05-22-10-15-00,13,7,6
2015-05-22-10-30-00,24,15,9
2015-05-22-10-45-00,19,6,13
2015-05-22-11-00-00,24,18,6
2015-05-22-11-15-00,25,11,14
2015-05-22-11-30-00,23,8,15
