 ;5.02 BN - Kennedybrücke (Südseite) Barometer ;5.02 BN - Kennedybrücke (Südseite) IN ;5.02 BN - Kennedybrücke (Südseite) Barometer Radfahrer Ri. Beuel
2015-03-28-13-00-00;55;22;33
2015-03-28-13-15-00;59;14;45
2015-03-28-13-30-00;55;15;40
2015-03-28-13-45-00;58;19;39
2015-03-28-14-00-00;27;6;21
2015-03-28-14-15-00;40;7;33
2015-03-28-14-30-00;20;4;16
2015-03-28-14-45-00;33;6;27
2015-03-28-15-00-00;22;8;14
2015-03-28-15-15-00;24;4;20
2015-03-28-15-30-00;33;2;31
2015-03-28-15-45-00;26;10;16
2015-03-28-16-00-00;34;8;26
2015-03-28-16-15-00;32;6;26
2015-03-28-16-30-00;26;3;23
2015-03-28-16-45-00;26;5;21
2015-03-28-17-00-00;28;11;17
2015-03-28-17-15-00;28;9;19
2015-03-28-17-30-00;23;5;18
2015-03-28-17-45-00;18;5;13
2015-03-28-18-00-00;21;6;15
2015-03-28-18-15-00;25;3;22
2015-03-28-18-30-00;28;7;21
2015-03-28-18-45-00;28;11;17
2015-03-28-19-00-00;18;4;14
2015-03-28-19-15-00;16;2;14
2015-03-28-19-30-00;27;11;16
2015-03-28-19-45-00;12;4;8
2015-03-28-20-00-00;20;2;18
2015-03-28-20-15-00;22;7;15
2015-03-28-20-30-00;16;0;16
2015-03-28-20-45-00;11;3;8
2015-03-28-21-00-00;22;7;15
2015-03-28-21-15-00;10;0;10
2015-03-28-21-30-00;18;7;11
2015-03-28-21-45-00;16;3;13
2015-03-28-22-00-00;12;5;7
2015-03-28-22-15-00;8;2;6
2015-03-28-22-30-00;8;0;8
2015-03-28-22-45-00;15;4;11
2015-03-28-23-00-00;12;3;9
2015-03-28-23-15-00;17;6;11
2015-03-28-23-30-00;13;4;9
2015-03-28-23-45-00;9;2;7
2015-03-29-00-00-00;12;6;6
2015-03-29-00-15-00;7;3;4
2015-03-29-00-30-00;8;3;5
2015-03-29-00-45-00;9;3;6
2015-03-29-01-00-00;6;0;6
2015-03-29-01-15-00;5;0;5
2015-03-29-01-30-00;9;3;6
2015-03-29-01-45-00;3;0;3
2015-03-29-03-00-00;8;2;6
2015-03-29-03-15-00;6;1;5
2015-03-29-03-30-00;6;2;4
2015-03-29-03-45-00;3;2;1
2015-03-29-04-00-00;5;1;4
2015-03-29-04-15-00;4;1;3
2015-03-29-04-30-00;5;1;4
2015-03-29-04-45-00;4;0;4
2015-03-29-05-00-00;3;0;3
2015-03-29-05-15-00;6;1;5
2015-03-29-05-30-00;3;1;2
2015-03-29-05-45-00;4;1;3
2015-03-29-06-00-00;1;0;1
2015-03-29-06-15-00;0;0;0
2015-03-29-06-30-00;5;1;4
2015-03-29-06-45-00;2;0;2
2015-03-29-07-00-00;3;2;1
2015-03-29-07-15-00;3;2;1
2015-03-29-07-30-00;0;0;0
2015-03-29-07-45-00;0;0;0
2015-03-29-08-00-00;2;2;0
2015-03-29-08-15-00;4;1;3
2015-03-29-08-30-00;5;1;4
2015-03-29-08-45-00;9;4;5
2015-03-29-09-00-00;7;3;4
2015-03-29-09-15-00;6;3;3
2015-03-29-09-30-00;10;7;3
2015-03-29-09-45-00;6;2;4
2015-03-29-10-00-00;5;0;5
2015-03-29-10-15-00;9;1;8
2015-03-29-10-30-00;3;2;1
2015-03-29-10-45-00;9;4;5
2015-03-29-11-00-00;8;2;6
2015-03-29-11-15-00;15;3;12
2015-03-29-11-30-00;9;2;7
2015-03-29-11-45-00;12;7;5
2015-03-29-12-00-00;9;5;4
2015-03-29-12-15-00;11;5;6
2015-03-29-12-30-00;12;8;4
2015-03-29-12-45-00;17;4;13
2015-03-29-13-00-00;16;7;9
2015-03-29-13-15-00;16;3;13
2015-03-29-13-30-00;8;1;7
2015-03-29-13-45-00;12;1;11
2015-03-29-14-00-00;15;0;15
2015-03-29-14-15-00;7;4;3
2015-03-29-14-30-00;18;3;15
2015-03-29-14-45-00;14;6;8
2015-03-29-15-00-00;8;2;6
2015-03-29-15-15-00;21;9;12
2015-03-29-15-30-00;13;4;9
2015-03-29-15-45-00;21;4;17
2015-03-29-16-00-00;15;1;14
2015-03-29-16-15-00;14;4;10
2015-03-29-16-30-00;11;3;8
2015-03-29-16-45-00;8;5;3
2015-03-29-17-00-00;9;4;5
2015-03-29-17-15-00;8;3;5
2015-03-29-17-30-00;11;3;8
2015-03-29-17-45-00;10;3;7
2015-03-29-18-00-00;10;5;5
2015-03-29-18-15-00;15;4;11
2015-03-29-18-30-00;12;2;10
2015-03-29-18-45-00;9;4;5
2015-03-29-19-00-00;14;5;9
2015-03-29-19-15-00;13;2;11
2015-03-29-19-30-00;10;1;9
2015-03-29-19-45-00;13;4;9
2015-03-29-20-00-00;6;0;6
2015-03-29-20-15-00;11;4;7
2015-03-29-20-30-00;4;0;4
2015-03-29-20-45-00;7;2;5
2015-03-29-21-00-00;7;2;5
2015-03-29-21-15-00;8;0;8
2015-03-29-21-30-00;1;0;1
2015-03-29-21-45-00;0;0;0
2015-03-29-22-00-00;3;0;3
2015-03-29-22-15-00;1;1;0
2015-03-29-22-30-00;1;0;1
2015-03-29-22-45-00;0;0;0
2015-03-29-23-00-00;7;3;4
2015-03-29-23-15-00;7;3;4
2015-03-29-23-30-00;2;0;2
2015-03-29-23-45-00;2;0;2
2015-03-30-00-00-00;2;0;2
2015-03-30-00-15-00;0;0;0
2015-03-30-00-30-00;4;1;3
2015-03-30-00-45-00;0;0;0
2015-03-30-01-00-00;1;0;1
2015-03-30-01-15-00;1;0;1
2015-03-30-01-30-00;0;0;0
2015-03-30-01-45-00;0;0;0
2015-03-30-02-00-00;0;0;0
2015-03-30-02-15-00;0;0;0
2015-03-30-02-30-00;0;0;0
2015-03-30-02-45-00;1;0;1
2015-03-30-03-00-00;0;0;0
2015-03-30-03-15-00;0;0;0
2015-03-30-03-30-00;2;1;1
2015-03-30-03-45-00;1;1;0
2015-03-30-04-00-00;2;1;1
2015-03-30-04-15-00;2;2;0
2015-03-30-04-30-00;3;1;2
2015-03-30-04-45-00;3;1;2
2015-03-30-05-00-00;2;2;0
2015-03-30-05-15-00;3;0;3
2015-03-30-05-30-00;7;3;4
2015-03-30-05-45-00;8;3;5
2015-03-30-06-00-00;8;4;4
2015-03-30-06-15-00;12;5;7
2015-03-30-06-30-00;15;3;12
2015-03-30-06-45-00;23;12;11
2015-03-30-07-00-00;21;7;14
2015-03-30-07-15-00;42;19;23
2015-03-30-07-30-00;39;24;15
2015-03-30-07-45-00;63;30;33
2015-03-30-08-00-00;43;24;19
2015-03-30-08-15-00;68;40;28
2015-03-30-08-30-00;61;27;34
2015-03-30-08-45-00;50;28;22
2015-03-30-09-00-00;46;19;27
2015-03-30-09-15-00;39;21;18
2015-03-30-09-30-00;42;27;15
2015-03-30-09-45-00;31;13;18
