 ;5.02 BN - Kennedybrücke (Südseite) Barometer ;5.02 BN - Kennedybrücke (Südseite) IN ;5.02 BN - Kennedybrücke (Südseite) Barometer Radfahrer Ri. Beuel
2017-04-09-05-30-00;4;2;2
2017-04-09-05-45-00;0;0;0
2017-04-09-06-00-00;2;1;1
2017-04-09-06-15-00;2;1;1
2017-04-09-06-30-00;5;0;5
2017-04-09-06-45-00;3;2;1
2017-04-09-07-00-00;8;3;5
2017-04-09-07-15-00;6;0;6
2017-04-09-07-30-00;15;8;7
2017-04-09-07-45-00;10;4;6
2017-04-09-08-00-00;5;1;4
2017-04-09-08-15-00;9;4;5
2017-04-09-08-30-00;9;1;8
2017-04-09-08-45-00;20;10;10
2017-04-09-09-00-00;28;9;19
2017-04-09-09-15-00;17;7;10
2017-04-09-09-30-00;33;12;21
2017-04-09-09-45-00;45;22;23
2017-04-09-10-00-00;42;17;25
2017-04-09-10-15-00;40;10;30
2017-04-09-10-30-00;71;14;57
2017-04-09-10-45-00;68;20;48
2017-04-09-11-00-00;67;22;45
2017-04-09-11-15-00;72;10;62
2017-04-09-11-30-00;52;11;41
2017-04-09-11-45-00;80;28;52
2017-04-09-12-00-00;74;11;63
2017-04-09-12-15-00;98;19;79
2017-04-09-12-30-00;107;21;86
2017-04-09-12-45-00;115;19;96
2017-04-09-13-00-00;127;20;107
2017-04-09-13-15-00;117;26;91
2017-04-09-13-30-00;111;19;92
2017-04-09-13-45-00;123;32;91
2017-04-09-14-00-00;143;27;116
2017-04-09-14-15-00;164;41;123
2017-04-09-14-30-00;197;33;164
2017-04-09-14-45-00;177;31;146
2017-04-09-15-00-00;208;22;186
2017-04-09-15-15-00;138;19;119
2017-04-09-15-30-00;147;26;121
2017-04-09-15-45-00;179;38;141
2017-04-09-16-00-00;139;30;109
2017-04-09-16-15-00;147;39;108
2017-04-09-16-30-00;145;35;110
2017-04-09-16-45-00;185;48;137
2017-04-09-17-00-00;134;45;89
2017-04-09-17-15-00;154;41;113
2017-04-09-17-30-00;114;35;79
2017-04-09-17-45-00;107;28;79
2017-04-09-18-00-00;118;31;87
2017-04-09-18-15-00;94;25;69
2017-04-09-18-30-00;89;18;71
2017-04-09-18-45-00;70;16;54
2017-04-09-19-00-00;91;30;61
2017-04-09-19-15-00;94;36;58
2017-04-09-19-30-00;80;17;63
2017-04-09-19-45-00;94;38;56
2017-04-09-20-00-00;60;25;35
2017-04-09-20-15-00;46;12;34
2017-04-09-20-30-00;56;21;35
2017-04-09-20-45-00;32;12;20
2017-04-09-21-00-00;50;22;28
2017-04-09-21-15-00;54;23;31
2017-04-09-21-30-00;39;10;29
2017-04-09-21-45-00;29;8;21
2017-04-09-22-00-00;29;13;16
2017-04-09-22-15-00;34;18;16
2017-04-09-22-30-00;13;4;9
2017-04-09-22-45-00;19;8;11
2017-04-09-23-00-00;14;4;10
2017-04-09-23-15-00;10;1;9
2017-04-09-23-30-00;8;1;7
2017-04-09-23-45-00;12;5;7
2017-04-10-00-00-00;11;6;5
2017-04-10-00-15-00;1;1;0
2017-04-10-00-30-00;3;0;3
2017-04-10-00-45-00;2;2;0
2017-04-10-01-00-00;2;0;2
2017-04-10-01-15-00;5;3;2
2017-04-10-01-30-00;10;1;9
2017-04-10-01-45-00;3;1;2
2017-04-10-02-00-00;3;1;2
2017-04-10-02-15-00;0;0;0
2017-04-10-02-30-00;0;0;0
2017-04-10-02-45-00;2;0;2
2017-04-10-03-00-00;0;0;0
2017-04-10-03-15-00;0;0;0
2017-04-10-03-30-00;3;0;3
2017-04-10-03-45-00;2;1;1
2017-04-10-04-00-00;1;0;1
2017-04-10-04-15-00;5;3;2
2017-04-10-04-30-00;7;2;5
2017-04-10-04-45-00;2;0;2
2017-04-10-05-00-00;3;2;1
2017-04-10-05-15-00;8;5;3
2017-04-10-05-30-00;10;1;9
2017-04-10-05-45-00;12;5;7
2017-04-10-06-00-00;19;7;12
2017-04-10-06-15-00;17;9;8
2017-04-10-06-30-00;31;13;18
2017-04-10-06-45-00;43;24;19
2017-04-10-07-00-00;48;25;23
2017-04-10-07-15-00;49;18;31
2017-04-10-07-30-00;93;47;46
2017-04-10-07-45-00;91;53;38
2017-04-10-08-00-00;77;29;48
2017-04-10-08-15-00;81;47;34
2017-04-10-08-30-00;98;45;53
2017-04-10-08-45-00;94;60;34
2017-04-10-09-00-00;81;41;40
2017-04-10-09-15-00;62;24;38
2017-04-10-09-30-00;47;20;27
2017-04-10-09-45-00;69;33;36
2017-04-10-10-00-00;43;19;24
2017-04-10-10-15-00;42;11;31
2017-04-10-10-30-00;47;23;24
2017-04-10-10-45-00;53;19;34
2017-04-10-11-00-00;61;28;33
2017-04-10-11-15-00;36;11;25
2017-04-10-11-30-00;52;12;40
2017-04-10-11-45-00;45;12;33
2017-04-10-12-00-00;46;12;34
2017-04-10-12-15-00;75;23;52
2017-04-10-12-30-00;62;16;46
2017-04-10-12-45-00;64;18;46
2017-04-10-13-00-00;68;15;53
2017-04-10-13-15-00;70;12;58
2017-04-10-13-30-00;81;30;51
2017-04-10-13-45-00;51;12;39
2017-04-10-14-00-00;76;9;67
2017-04-10-14-15-00;67;13;54
2017-04-10-14-30-00;63;9;54
2017-04-10-14-45-00;71;16;55
2017-04-10-15-00-00;71;13;58
2017-04-10-15-15-00;67;12;55
2017-04-10-15-30-00;89;19;70
2017-04-10-15-45-00;100;22;78
2017-04-10-16-00-00;94;10;84
2017-04-10-16-15-00;104;16;88
2017-04-10-16-30-00;123;20;103
2017-04-10-16-45-00;124;21;103
2017-04-10-17-00-00;121;18;103
2017-04-10-17-15-00;140;21;119
2017-04-10-17-30-00;142;20;122
2017-04-10-17-45-00;125;23;102
2017-04-10-18-00-00;117;20;97
2017-04-10-18-15-00;133;30;103
2017-04-10-18-30-00;132;23;109
2017-04-10-18-45-00;89;16;73
2017-04-10-19-00-00;98;20;78
2017-04-10-19-15-00;112;15;97
2017-04-10-19-30-00;78;14;64
2017-04-10-19-45-00;84;25;59
2017-04-10-20-00-00;60;15;45
2017-04-10-20-15-00;47;12;35
2017-04-10-20-30-00;36;9;27
2017-04-10-20-45-00;36;9;27
2017-04-10-21-00-00;34;8;26
2017-04-10-21-15-00;47;8;39
2017-04-10-21-30-00;30;5;25
2017-04-10-21-45-00;19;2;17
2017-04-10-22-00-00;25;3;22
2017-04-10-22-15-00;32;7;25
2017-04-10-22-30-00;20;4;16
2017-04-10-22-45-00;10;3;7
2017-04-10-23-00-00;13;4;9
2017-04-10-23-15-00;17;3;14
2017-04-10-23-30-00;8;2;6
2017-04-10-23-45-00;10;1;9
2017-04-11-00-00-00;9;0;9
2017-04-11-00-15-00;4;2;2
2017-04-11-00-30-00;5;0;5
2017-04-11-00-45-00;4;0;4
2017-04-11-01-00-00;4;0;4
2017-04-11-01-15-00;9;3;6
2017-04-11-01-30-00;4;0;4
2017-04-11-01-45-00;1;0;1
2017-04-11-02-00-00;2;1;1
2017-04-11-02-15-00;2;0;2
2017-04-11-02-30-00;2;0;2
2017-04-11-02-45-00;1;1;0
2017-04-11-03-00-00;1;0;1
2017-04-11-03-15-00;1;1;0
2017-04-11-03-30-00;5;0;5
2017-04-11-03-45-00;1;0;1
2017-04-11-04-00-00;0;0;0
2017-04-11-04-15-00;4;2;2
2017-04-11-04-30-00;7;4;3
2017-04-11-04-45-00;2;0;2
2017-04-11-05-00-00;5;0;5
2017-04-11-05-15-00;9;5;4
2017-04-11-05-30-00;10;1;9
2017-04-11-05-45-00;10;5;5
2017-04-11-06-00-00;21;5;16
2017-04-11-06-15-00;17;8;9
2017-04-11-06-30-00;34;13;21
2017-04-11-06-45-00;48;26;22
2017-04-11-07-00-00;53;30;23
2017-04-11-07-15-00;64;25;39
2017-04-11-07-30-00;72;32;40
2017-04-11-07-45-00;118;59;59
2017-04-11-08-00-00;84;38;46
2017-04-11-08-15-00;79;44;35
2017-04-11-08-30-00;90;48;42
2017-04-11-08-45-00;95;44;51
2017-04-11-09-00-00;81;37;44
2017-04-11-09-15-00;68;37;31
2017-04-11-09-30-00;58;18;40
2017-04-11-09-45-00;65;38;27
2017-04-11-10-00-00;78;25;53
2017-04-11-10-15-00;49;21;28
2017-04-11-10-30-00;52;22;30
2017-04-11-10-45-00;50;11;39
2017-04-11-11-00-00;43;18;25
2017-04-11-11-15-00;48;15;33
2017-04-11-11-30-00;50;23;27
2017-04-11-11-45-00;49;13;36
2017-04-11-12-00-00;54;19;35
2017-04-11-12-15-00;62;22;40
2017-04-11-12-30-00;59;27;32
2017-04-11-12-45-00;65;12;53
2017-04-11-13-00-00;63;15;48
2017-04-11-13-15-00;69;7;62
2017-04-11-13-30-00;64;15;49
2017-04-11-13-45-00;76;18;58
2017-04-11-14-00-00;72;20;52
2017-04-11-14-15-00;66;17;49
2017-04-11-14-30-00;82;20;62
2017-04-11-14-45-00;88;11;77
2017-04-11-15-00-00;76;16;60
2017-04-11-15-15-00;83;10;73
2017-04-11-15-30-00;92;23;69
2017-04-11-15-45-00;101;23;78
2017-04-11-16-00-00;101;25;76
2017-04-11-16-15-00;128;28;100
2017-04-11-16-30-00;110;10;100
2017-04-11-16-45-00;146;29;117
2017-04-11-17-00-00;123;18;105
2017-04-11-17-15-00;159;27;132
2017-04-11-17-30-00;135;22;113
2017-04-11-17-45-00;186;42;144
2017-04-11-18-00-00;133;26;107
2017-04-11-18-15-00;150;31;119
2017-04-11-18-30-00;135;25;110
2017-04-11-18-45-00;109;32;77
2017-04-11-19-00-00;106;33;73
2017-04-11-19-15-00;80;12;68
2017-04-11-19-30-00;64;9;55
2017-04-11-19-45-00;82;20;62
2017-04-11-20-00-00;95;21;74
2017-04-11-20-15-00;56;8;48
2017-04-11-20-30-00;46;14;32
2017-04-11-20-45-00;58;12;46
2017-04-11-21-00-00;54;22;32
2017-04-11-21-15-00;39;8;31
2017-04-11-21-30-00;32;6;26
2017-04-11-21-45-00;47;9;38
2017-04-11-22-00-00;46;6;40
2017-04-11-22-15-00;34;7;27
2017-04-11-22-30-00;39;8;31
2017-04-11-22-45-00;45;10;35
2017-04-11-23-00-00;22;4;18
2017-04-11-23-15-00;28;3;25
2017-04-11-23-30-00;20;2;18
2017-04-11-23-45-00;13;1;12
2017-04-12-00-00-00;7;2;5
2017-04-12-00-15-00;15;3;12
2017-04-12-00-30-00;11;0;11
2017-04-12-00-45-00;6;0;6
2017-04-12-01-00-00;6;1;5
2017-04-12-01-15-00;2;0;2
2017-04-12-01-30-00;3;0;3
2017-04-12-01-45-00;2;1;1
2017-04-12-02-00-00;0;0;0
2017-04-12-02-15-00;0;0;0
2017-04-12-02-30-00;1;0;1
2017-04-12-02-45-00;6;1;5
2017-04-12-03-00-00;1;1;0
2017-04-12-03-15-00;0;0;0
2017-04-12-03-30-00;2;0;2
2017-04-12-03-45-00;1;0;1
2017-04-12-04-00-00;1;0;1
2017-04-12-04-15-00;3;1;2
2017-04-12-04-30-00;7;2;5
2017-04-12-04-45-00;1;1;0
2017-04-12-05-00-00;6;1;5
2017-04-12-05-15-00;6;4;2
2017-04-12-05-30-00;10;4;6
2017-04-12-05-45-00;12;4;8
2017-04-12-06-00-00;10;3;7
2017-04-12-06-15-00;23;7;16
2017-04-12-06-30-00;32;11;21
2017-04-12-06-45-00;39;20;19
2017-04-12-07-00-00;44;24;20
2017-04-12-07-15-00;71;28;43
2017-04-12-07-30-00;77;34;43
2017-04-12-07-45-00;101;49;52
2017-04-12-08-00-00;85;37;48
2017-04-12-08-15-00;81;49;32
2017-04-12-08-30-00;82;32;50
2017-04-12-08-45-00;92;45;47
2017-04-12-09-00-00;68;34;34
2017-04-12-09-15-00;67;32;35
2017-04-12-09-30-00;73;34;39
2017-04-12-09-45-00;65;35;30
2017-04-12-10-00-00;48;28;20
2017-04-12-10-15-00;40;15;25
2017-04-12-10-30-00;38;17;21
2017-04-12-10-45-00;38;11;27
2017-04-12-11-00-00;56;18;38
2017-04-12-11-15-00;68;25;43
2017-04-12-11-30-00;65;31;34
2017-04-12-11-45-00;73;24;49
2017-04-12-12-00-00;58;16;42
2017-04-12-12-15-00;63;14;49
2017-04-12-12-30-00;60;23;37
2017-04-12-12-45-00;55;15;40
2017-04-12-13-00-00;58;14;44
2017-04-12-13-15-00;58;14;44
2017-04-12-13-30-00;55;17;38
2017-04-12-13-45-00;70;20;50
2017-04-12-14-00-00;46;17;29
2017-04-12-14-15-00;63;9;54
2017-04-12-14-30-00;70;15;55
2017-04-12-14-45-00;85;17;68
2017-04-12-15-00-00;81;18;63
2017-04-12-15-15-00;61;11;50
2017-04-12-15-30-00;91;8;83
2017-04-12-15-45-00;97;18;79
2017-04-12-16-00-00;101;15;86
2017-04-12-16-15-00;120;23;97
2017-04-12-16-30-00;136;30;106
2017-04-12-16-45-00;130;26;104
2017-04-12-17-00-00;111;19;92
2017-04-12-17-15-00;144;32;112
2017-04-12-17-30-00;131;26;105
2017-04-12-17-45-00;145;27;118
2017-04-12-18-00-00;128;22;106
2017-04-12-18-15-00;122;25;97
2017-04-12-18-30-00;103;16;87
2017-04-12-18-45-00;80;16;64
2017-04-12-19-00-00;97;34;63
2017-04-12-19-15-00;87;20;67
2017-04-12-19-30-00;100;24;76
2017-04-12-19-45-00;69;11;58
2017-04-12-20-00-00;65;14;51
2017-04-12-20-15-00;63;12;51
2017-04-12-20-30-00;54;10;44
2017-04-12-20-45-00;39;9;30
2017-04-12-21-00-00;35;6;29
2017-04-12-21-15-00;42;8;34
2017-04-12-21-30-00;43;9;34
2017-04-12-21-45-00;27;3;24
2017-04-12-22-00-00;30;2;28
2017-04-12-22-15-00;25;1;24
2017-04-12-22-30-00;16;2;14
2017-04-12-22-45-00;31;7;24
2017-04-12-23-00-00;23;4;19
2017-04-12-23-15-00;20;2;18
2017-04-12-23-30-00;11;2;9
2017-04-12-23-45-00;10;1;9
2017-04-13-00-00-00;6;1;5
2017-04-13-00-15-00;9;1;8
2017-04-13-00-30-00;12;4;8
2017-04-13-00-45-00;5;0;5
2017-04-13-01-00-00;6;0;6
2017-04-13-01-15-00;4;0;4
2017-04-13-01-30-00;2;0;2
2017-04-13-01-45-00;6;3;3
2017-04-13-02-00-00;2;1;1
2017-04-13-02-15-00;1;0;1
2017-04-13-02-30-00;3;0;3
2017-04-13-02-45-00;2;0;2
2017-04-13-03-00-00;1;0;1
2017-04-13-03-15-00;5;1;4
2017-04-13-03-30-00;3;1;2
2017-04-13-03-45-00;3;0;3
2017-04-13-04-00-00;5;0;5
2017-04-13-04-15-00;4;2;2
2017-04-13-04-30-00;4;3;1
2017-04-13-04-45-00;5;1;4
2017-04-13-05-00-00;3;1;2
2017-04-13-05-15-00;3;2;1
2017-04-13-05-30-00;14;5;9
2017-04-13-05-45-00;12;5;7
2017-04-13-06-00-00;12;3;9
2017-04-13-06-15-00;17;8;9
2017-04-13-06-30-00;23;11;12
2017-04-13-06-45-00;42;22;20
2017-04-13-07-00-00;29;17;12
2017-04-13-07-15-00;66;24;42
2017-04-13-07-30-00;67;27;40
2017-04-13-07-45-00;80;33;47
2017-04-13-08-00-00;47;29;18
2017-04-13-08-15-00;77;38;39
2017-04-13-08-30-00;75;39;36
2017-04-13-08-45-00;87;41;46
2017-04-13-09-00-00;59;35;24
2017-04-13-09-15-00;40;20;20
2017-04-13-09-30-00;37;24;13
2017-04-13-09-45-00;44;19;25
2017-04-13-10-00-00;45;21;24
2017-04-13-10-15-00;42;21;21
2017-04-13-10-30-00;42;16;26
2017-04-13-10-45-00;62;22;40
2017-04-13-11-00-00;58;18;40
2017-04-13-11-15-00;46;13;33
2017-04-13-11-30-00;37;14;23
2017-04-13-11-45-00;53;17;36
2017-04-13-12-00-00;45;11;34
2017-04-13-12-15-00;63;23;40
2017-04-13-12-30-00;64;17;47
2017-04-13-12-45-00;54;16;38
2017-04-13-13-00-00;46;11;35
2017-04-13-13-15-00;53;17;36
2017-04-13-13-30-00;45;7;38
2017-04-13-13-45-00;58;11;47
2017-04-13-14-00-00;66;15;51
2017-04-13-14-15-00;64;10;54
2017-04-13-14-30-00;65;16;49
2017-04-13-14-45-00;77;14;63
2017-04-13-15-00-00;52;15;37
2017-04-13-15-15-00;95;23;72
2017-04-13-15-30-00;86;16;70
2017-04-13-15-45-00;85;22;63
2017-04-13-16-00-00;77;15;62
2017-04-13-16-15-00;116;15;101
2017-04-13-16-30-00;114;28;86
2017-04-13-16-45-00;119;35;84
2017-04-13-17-00-00;89;18;71
2017-04-13-17-15-00;124;21;103
2017-04-13-17-30-00;94;14;80
2017-04-13-17-45-00;99;22;77
2017-04-13-18-00-00;94;18;76
2017-04-13-18-15-00;93;20;73
2017-04-13-18-30-00;91;17;74
2017-04-13-18-45-00;77;20;57
2017-04-13-19-00-00;69;15;54
2017-04-13-19-15-00;55;7;48
2017-04-13-19-30-00;58;10;48
2017-04-13-19-45-00;52;12;40
2017-04-13-20-00-00;57;10;47
2017-04-13-20-15-00;57;11;46
2017-04-13-20-30-00;45;16;29
2017-04-13-20-45-00;52;9;43
2017-04-13-21-00-00;31;6;25
2017-04-13-21-15-00;26;0;26
2017-04-13-21-30-00;21;11;10
2017-04-13-21-45-00;28;7;21
2017-04-13-22-00-00;28;3;25
2017-04-13-22-15-00;30;4;26
2017-04-13-22-30-00;30;9;21
2017-04-13-22-45-00;23;4;19
2017-04-13-23-00-00;14;2;12
2017-04-13-23-15-00;20;5;15
2017-04-13-23-30-00;24;5;19
2017-04-13-23-45-00;16;1;15
2017-04-14-00-00-00;11;1;10
2017-04-14-00-15-00;13;1;12
2017-04-14-00-30-00;13;1;12
2017-04-14-00-45-00;7;0;7
2017-04-14-01-00-00;9;0;9
2017-04-14-01-15-00;10;0;10
2017-04-14-01-30-00;12;6;6
2017-04-14-01-45-00;4;1;3
2017-04-14-02-00-00;4;2;2
2017-04-14-02-15-00;9;0;9
2017-04-14-02-30-00;5;0;5
2017-04-14-02-45-00;2;0;2
2017-04-14-03-00-00;0;0;0
2017-04-14-03-15-00;3;0;3
2017-04-14-03-30-00;3;2;1
2017-04-14-03-45-00;1;0;1
2017-04-14-04-00-00;1;1;0
2017-04-14-04-15-00;3;0;3
2017-04-14-04-30-00;1;0;1
2017-04-14-04-45-00;2;0;2
2017-04-14-05-00-00;3;1;2
2017-04-14-05-15-00;0;0;0
2017-04-14-05-30-00;1;1;0
2017-04-14-05-45-00;3;1;2
2017-04-14-06-00-00;2;0;2
2017-04-14-06-15-00;0;0;0
2017-04-14-06-30-00;0;0;0
2017-04-14-06-45-00;7;2;5
2017-04-14-07-00-00;5;1;4
2017-04-14-07-15-00;5;1;4
2017-04-14-07-30-00;5;2;3
2017-04-14-07-45-00;8;4;4
2017-04-14-08-00-00;7;3;4
2017-04-14-08-15-00;6;3;3
2017-04-14-08-30-00;11;3;8
2017-04-14-08-45-00;13;6;7
2017-04-14-09-00-00;20;5;15
2017-04-14-09-15-00;17;5;12
2017-04-14-09-30-00;20;10;10
2017-04-14-09-45-00;20;11;9
2017-04-14-10-00-00;21;9;12
2017-04-14-10-15-00;28;9;19
2017-04-14-10-30-00;27;10;17
2017-04-14-10-45-00;44;8;36
2017-04-14-11-00-00;31;6;25
2017-04-14-11-15-00;51;18;33
2017-04-14-11-30-00;34;9;25
2017-04-14-11-45-00;42;5;37
2017-04-14-12-00-00;45;11;34
2017-04-14-12-15-00;56;11;45
2017-04-14-12-30-00;39;12;27
2017-04-14-12-45-00;50;9;41
2017-04-14-13-00-00;49;7;42
2017-04-14-13-15-00;36;8;28
2017-04-14-13-30-00;31;9;22
2017-04-14-13-45-00;30;3;27
2017-04-14-14-00-00;46;16;30
2017-04-14-14-15-00;50;12;38
2017-04-14-14-30-00;60;19;41
2017-04-14-14-45-00;41;11;30
2017-04-14-15-00-00;47;10;37
2017-04-14-15-15-00;65;13;52
2017-04-14-15-30-00;51;11;40
2017-04-14-15-45-00;41;18;23
2017-04-14-16-00-00;26;6;20
2017-04-14-16-15-00;47;8;39
2017-04-14-16-30-00;38;6;32
2017-04-14-16-45-00;49;5;44
2017-04-14-17-00-00;54;12;42
2017-04-14-17-15-00;57;17;40
2017-04-14-17-30-00;57;17;40
2017-04-14-17-45-00;51;18;33
2017-04-14-18-00-00;50;21;29
2017-04-14-18-15-00;39;13;26
2017-04-14-18-30-00;37;19;18
2017-04-14-18-45-00;34;8;26
2017-04-14-19-00-00;47;14;33
2017-04-14-19-15-00;30;11;19
2017-04-14-19-30-00;30;11;19
2017-04-14-19-45-00;26;13;13
2017-04-14-20-00-00;35;5;30
2017-04-14-20-15-00;34;9;25
2017-04-14-20-30-00;20;6;14
2017-04-14-20-45-00;17;1;16
2017-04-14-21-00-00;20;5;15
2017-04-14-21-15-00;17;3;14
2017-04-14-21-30-00;11;0;11
2017-04-14-21-45-00;12;5;7
2017-04-14-22-00-00;16;5;11
2017-04-14-22-15-00;21;5;16
2017-04-14-22-30-00;29;9;20
2017-04-14-22-45-00;23;5;18
2017-04-14-23-00-00;22;7;15
2017-04-14-23-15-00;14;3;11
2017-04-14-23-30-00;7;4;3
2017-04-14-23-45-00;7;0;7
2017-04-15-00-00-00;5;0;5
2017-04-15-00-15-00;11;2;9
2017-04-15-00-30-00;11;2;9
2017-04-15-00-45-00;10;2;8
2017-04-15-01-00-00;4;0;4
2017-04-15-01-15-00;12;3;9
2017-04-15-01-30-00;11;3;8
2017-04-15-01-45-00;6;1;5
2017-04-15-02-00-00;3;0;3
2017-04-15-02-15-00;6;1;5
2017-04-15-02-30-00;5;0;5
2017-04-15-02-45-00;7;4;3
2017-04-15-03-00-00;1;0;1
2017-04-15-03-15-00;2;0;2
2017-04-15-03-30-00;3;0;3
2017-04-15-03-45-00;1;0;1
2017-04-15-04-00-00;1;0;1
2017-04-15-04-15-00;2;0;2
2017-04-15-04-30-00;1;1;0
2017-04-15-04-45-00;1;0;1
2017-04-15-05-00-00;2;1;1
2017-04-15-05-15-00;4;3;1
2017-04-15-05-30-00;4;1;3
2017-04-15-05-45-00;2;0;2
2017-04-15-06-00-00;3;1;2
2017-04-15-06-15-00;2;1;1
2017-04-15-06-30-00;0;0;0
2017-04-15-06-45-00;3;1;2
2017-04-15-07-00-00;4;0;4
2017-04-15-07-15-00;8;2;6
2017-04-15-07-30-00;3;1;2
2017-04-15-07-45-00;5;1;4
2017-04-15-08-00-00;7;1;6
2017-04-15-08-15-00;6;4;2
2017-04-15-08-30-00;12;5;7
2017-04-15-08-45-00;19;7;12
2017-04-15-09-00-00;24;8;16
2017-04-15-09-15-00;18;12;6
2017-04-15-09-30-00;25;13;12
2017-04-15-09-45-00;40;17;23
2017-04-15-10-00-00;26;11;15
2017-04-15-10-15-00;48;22;26
2017-04-15-10-30-00;27;14;13
2017-04-15-10-45-00;32;13;19
2017-04-15-11-00-00;38;15;23
2017-04-15-11-15-00;41;12;29
2017-04-15-11-30-00;40;16;24
2017-04-15-11-45-00;36;8;28
2017-04-15-12-00-00;37;17;20
2017-04-15-12-15-00;53;20;33
2017-04-15-12-30-00;46;15;31
2017-04-15-12-45-00;42;15;27
2017-04-15-13-00-00;35;8;27
2017-04-15-13-15-00;44;14;30
2017-04-15-13-30-00;37;10;27
2017-04-15-13-45-00;35;8;27
2017-04-15-14-00-00;44;11;33
2017-04-15-14-15-00;37;7;30
2017-04-15-14-30-00;36;8;28
2017-04-15-14-45-00;38;11;27
2017-04-15-15-00-00;34;9;25
2017-04-15-15-15-00;39;9;30
2017-04-15-15-30-00;24;8;16
2017-04-15-15-45-00;32;12;20
2017-04-15-16-00-00;52;13;39
2017-04-15-16-15-00;41;14;27
2017-04-15-16-30-00;29;9;20
2017-04-15-16-45-00;50;6;44
2017-04-15-17-00-00;38;7;31
2017-04-15-17-15-00;34;5;29
2017-04-15-17-30-00;28;10;18
2017-04-15-17-45-00;35;5;30
2017-04-15-18-00-00;29;4;25
2017-04-15-18-15-00;43;10;33
2017-04-15-18-30-00;23;7;16
2017-04-15-18-45-00;30;9;21
2017-04-15-19-00-00;34;10;24
2017-04-15-19-15-00;30;9;21
2017-04-15-19-30-00;26;4;22
2017-04-15-19-45-00;13;4;9
2017-04-15-20-00-00;25;7;18
2017-04-15-20-15-00;23;2;21
2017-04-15-20-30-00;34;6;28
2017-04-15-20-45-00;36;6;30
2017-04-15-21-00-00;10;4;6
2017-04-15-21-15-00;10;0;10
2017-04-15-21-30-00;11;1;10
2017-04-15-21-45-00;7;1;6
2017-04-15-22-00-00;8;1;7
2017-04-15-22-15-00;7;2;5
2017-04-15-22-30-00;16;5;11
2017-04-15-22-45-00;9;0;9
2017-04-15-23-00-00;11;2;9
2017-04-15-23-15-00;17;5;12
2017-04-15-23-30-00;12;3;9
2017-04-15-23-45-00;7;2;5
2017-04-16-00-00-00;9;1;8
2017-04-16-00-15-00;10;2;8
2017-04-16-00-30-00;3;1;2
2017-04-16-00-45-00;10;4;6
2017-04-16-01-00-00;7;2;5
2017-04-16-01-15-00;9;2;7
2017-04-16-01-30-00;9;2;7
2017-04-16-01-45-00;2;1;1
2017-04-16-02-00-00;5;2;3
2017-04-16-02-15-00;7;0;7
2017-04-16-02-30-00;3;2;1
2017-04-16-02-45-00;7;1;6
2017-04-16-03-00-00;1;0;1
2017-04-16-03-15-00;6;0;6
2017-04-16-03-30-00;3;1;2
2017-04-16-03-45-00;2;0;2
2017-04-16-04-00-00;0;0;0
2017-04-16-04-15-00;2;0;2
2017-04-16-04-30-00;2;0;2
2017-04-16-04-45-00;6;5;1
2017-04-16-05-00-00;0;0;0
2017-04-16-05-15-00;3;1;2
2017-04-16-05-30-00;0;0;0
2017-04-16-05-45-00;4;1;3
2017-04-16-06-00-00;4;1;3
2017-04-16-06-15-00;3;1;2
2017-04-16-06-30-00;0;0;0
2017-04-16-06-45-00;6;0;6
2017-04-16-07-00-00;3;1;2
2017-04-16-07-15-00;2;0;2
2017-04-16-07-30-00;8;1;7
2017-04-16-07-45-00;2;0;2
2017-04-16-08-00-00;6;2;4
2017-04-16-08-15-00;11;4;7
2017-04-16-08-30-00;8;3;5
2017-04-16-08-45-00;7;5;2
2017-04-16-09-00-00;9;3;6
2017-04-16-09-15-00;9;5;4
2017-04-16-09-30-00;13;6;7
2017-04-16-09-45-00;18;0;18
2017-04-16-10-00-00;16;2;14
2017-04-16-10-15-00;19;3;16
2017-04-16-10-30-00;16;6;10
2017-04-16-10-45-00;12;7;5
2017-04-16-11-00-00;20;3;17
2017-04-16-11-15-00;18;7;11
2017-04-16-11-30-00;21;6;15
2017-04-16-11-45-00;17;4;13
2017-04-16-12-00-00;18;4;14
2017-04-16-12-15-00;18;5;13
2017-04-16-12-30-00;23;2;21
2017-04-16-12-45-00;25;9;16
2017-04-16-13-00-00;16;6;10
2017-04-16-13-15-00;14;2;12
2017-04-16-13-30-00;26;4;22
2017-04-16-13-45-00;28;7;21
2017-04-16-14-00-00;24;8;16
2017-04-16-14-15-00;22;6;16
2017-04-16-14-30-00;24;10;14
2017-04-16-14-45-00;32;18;14
2017-04-16-15-00-00;21;5;16
2017-04-16-15-15-00;17;5;12
2017-04-16-15-30-00;24;2;22
2017-04-16-15-45-00;11;6;5
2017-04-16-16-00-00;11;0;11
2017-04-16-16-15-00;13;1;12
2017-04-16-16-30-00;12;3;9
2017-04-16-16-45-00;20;6;14
2017-04-16-17-00-00;11;5;6
2017-04-16-17-15-00;20;1;19
2017-04-16-17-30-00;7;1;6
2017-04-16-17-45-00;15;5;10
2017-04-16-18-00-00;11;4;7
2017-04-16-18-15-00;27;10;17
2017-04-16-18-30-00;28;11;17
2017-04-16-18-45-00;27;7;20
2017-04-16-19-00-00;19;5;14
2017-04-16-19-15-00;14;4;10
2017-04-16-19-30-00;18;4;14
2017-04-16-19-45-00;15;5;10
2017-04-16-20-00-00;22;4;18
