 ;5.15 BN - Weg auf Damm Neil ;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Norden ;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Süden ;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Norden ;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Süden
2016-01-20-13-30-00;11;6;1;1;3
2016-01-20-13-45-00;9;6;0;1;2
2016-01-20-14-00-00;9;3;0;0;6
2016-01-20-14-15-00;5;2;0;0;3
2016-01-20-14-30-00;8;4;0;2;2
2016-01-20-14-45-00;9;5;0;2;2
2016-01-20-15-00-00;9;4;0;0;5
2016-01-20-15-15-00;12;6;0;1;5
2016-01-20-15-30-00;13;7;0;0;6
2016-01-20-15-45-00;10;5;0;1;4
2016-01-20-16-00-00;19;14;0;1;4
2016-01-20-16-15-00;14;3;0;0;11
2016-01-20-16-30-00;12;10;0;0;2
2016-01-20-16-45-00;16;6;0;1;9
2016-01-20-17-00-00;26;13;1;1;11
2016-01-20-17-15-00;16;8;0;0;8
2016-01-20-17-30-00;13;7;1;0;5
2016-01-20-17-45-00;15;7;0;1;7
2016-01-20-18-00-00;15;8;0;2;5
2016-01-20-18-15-00;13;6;0;1;6
2016-01-20-18-30-00;9;6;0;1;2
2016-01-20-18-45-00;6;2;0;1;3
2016-01-20-19-00-00;6;2;0;2;2
2016-01-20-19-15-00;7;5;0;1;1
2016-01-20-19-30-00;8;4;0;1;3
2016-01-20-19-45-00;8;6;0;1;1
2016-01-20-20-00-00;3;1;0;0;2
2016-01-20-20-15-00;6;1;3;1;1
2016-01-20-20-30-00;4;3;0;1;0
2016-01-20-20-45-00;2;1;0;1;0
2016-01-20-21-00-00;0;0;0;0;0
2016-01-20-21-15-00;0;0;0;0;0
2016-01-20-21-30-00;1;0;0;0;1
2016-01-20-21-45-00;1;0;0;0;1
2016-01-20-22-00-00;3;1;1;1;0
2016-01-20-22-15-00;1;1;0;0;0
2016-01-20-22-30-00;0;0;0;0;0
2016-01-20-22-45-00;2;0;0;0;2
2016-01-20-23-00-00;3;1;0;0;2
2016-01-20-23-15-00;0;0;0;0;0
2016-01-20-23-30-00;0;0;0;0;0
2016-01-20-23-45-00;1;1;0;0;0
2016-01-21-00-00-00;0;0;0;0;0
2016-01-21-00-15-00;0;0;0;0;0
2016-01-21-00-30-00;0;0;0;0;0
2016-01-21-00-45-00;0;0;0;0;0
2016-01-21-01-00-00;0;0;0;0;0
2016-01-21-01-15-00;1;0;0;1;0
2016-01-21-01-30-00;0;0;0;0;0
2016-01-21-01-45-00;0;0;0;0;0
