 ;5.12 BN - Straßburger Weg ;5.12 BN - Straßenburger Weg Radfahrer Ri. Süden ;5.12 BN - Straßenburger Weg Radfahrer Ri. Norden
2015-06-08-14-15-00;48;21;27
2015-06-08-14-30-00;58;23;35
2015-06-08-14-45-00;29;13;16
2015-06-08-15-00-00;34;16;18
2015-06-08-15-15-00;55;30;25
2015-06-08-15-30-00;57;32;25
2015-06-08-15-45-00;63;28;35
2015-06-08-16-00-00;71;22;49
2015-06-08-16-15-00;68;22;46
2015-06-08-16-30-00;53;33;20
2015-06-08-16-45-00;79;49;30
2015-06-08-17-00-00;86;39;47
2015-06-08-17-15-00;101;52;49
2015-06-08-17-30-00;83;41;42
2015-06-08-17-45-00;81;45;36
2015-06-08-18-00-00;88;45;43
2015-06-08-18-15-00;76;34;42
2015-06-08-18-30-00;63;32;31
2015-06-08-18-45-00;63;31;32
2015-06-08-19-00-00;49;17;32
2015-06-08-19-15-00;53;31;22
2015-06-08-19-30-00;42;23;19
2015-06-08-19-45-00;44;19;25
2015-06-08-20-00-00;44;18;26
2015-06-08-20-15-00;38;15;23
2015-06-08-20-30-00;18;7;11
2015-06-08-20-45-00;20;5;15
2015-06-08-21-00-00;15;2;13
2015-06-08-21-15-00;18;4;14
2015-06-08-21-30-00;21;6;15
2015-06-08-21-45-00;25;4;21
2015-06-08-22-00-00;13;3;10
2015-06-08-22-15-00;19;6;13
2015-06-08-22-30-00;15;6;9
2015-06-08-22-45-00;7;6;1
2015-06-08-23-00-00;3;1;2
2015-06-08-23-15-00;4;2;2
2015-06-08-23-30-00;6;1;5
2015-06-08-23-45-00;10;3;7
2015-06-09-00-00-00;2;2;0
2015-06-09-00-15-00;4;2;2
2015-06-09-00-30-00;4;1;3
2015-06-09-00-45-00;2;0;2
2015-06-09-01-00-00;3;2;1
2015-06-09-01-15-00;1;1;0
2015-06-09-01-30-00;1;0;1
2015-06-09-01-45-00;0;0;0
2015-06-09-02-00-00;0;0;0
2015-06-09-02-15-00;1;0;1
2015-06-09-02-30-00;1;0;1
2015-06-09-02-45-00;0;0;0
2015-06-09-03-00-00;0;0;0
2015-06-09-03-15-00;1;0;1
2015-06-09-03-30-00;0;0;0
2015-06-09-03-45-00;0;0;0
2015-06-09-04-00-00;2;1;1
2015-06-09-04-15-00;0;0;0
2015-06-09-04-30-00;1;1;0
2015-06-09-04-45-00;0;0;0
2015-06-09-05-00-00;1;1;0
2015-06-09-05-15-00;2;2;0
2015-06-09-05-30-00;3;2;1
2015-06-09-05-45-00;7;6;1
2015-06-09-06-00-00;8;5;3
2015-06-09-06-15-00;19;10;9
2015-06-09-06-30-00;19;14;5
2015-06-09-06-45-00;32;13;19
2015-06-09-07-00-00;26;14;12
2015-06-09-07-15-00;66;30;36
2015-06-09-07-30-00;81;35;46
2015-06-09-07-45-00;80;40;40
2015-06-09-08-00-00;118;50;68
2015-06-09-08-15-00;104;43;61
2015-06-09-08-30-00;127;50;77
2015-06-09-08-45-00;121;43;78
2015-06-09-09-00-00;93;40;53
2015-06-09-09-15-00;87;49;38
2015-06-09-09-30-00;53;25;28
2015-06-09-09-45-00;46;22;24
2015-06-09-10-00-00;30;18;12
2015-06-09-10-15-00;30;9;21
2015-06-09-10-30-00;45;20;25
2015-06-09-10-45-00;27;18;9
2015-06-09-11-00-00;31;13;18
2015-06-09-11-15-00;22;9;13
2015-06-09-11-30-00;47;18;29
2015-06-09-11-45-00;37;18;19
2015-06-09-12-00-00;38;16;22
2015-06-09-12-15-00;44;21;23
2015-06-09-12-30-00;33;16;17
2015-06-09-12-45-00;37;15;22
2015-06-09-13-00-00;42;21;21
2015-06-09-13-15-00;37;11;26
2015-06-09-13-30-00;49;20;29
2015-06-09-13-45-00;32;15;17
2015-06-09-14-00-00;54;25;29
2015-06-09-14-15-00;30;10;20
2015-06-09-14-30-00;35;14;21
2015-06-09-14-45-00;34;16;18
2015-06-09-15-00-00;44;19;25
2015-06-09-15-15-00;49;23;26
2015-06-09-15-30-00;50;29;21
2015-06-09-15-45-00;73;27;46
2015-06-09-16-00-00;79;29;50
2015-06-09-16-15-00;67;28;39
2015-06-09-16-30-00;59;32;27
2015-06-09-16-45-00;78;42;36
2015-06-09-17-00-00;68;32;36
2015-06-09-17-15-00;95;56;39
2015-06-09-17-30-00;65;31;34
2015-06-09-17-45-00;90;53;37
2015-06-09-18-00-00;104;61;43
2015-06-09-18-15-00;84;43;41
2015-06-09-18-30-00;79;46;33
2015-06-09-18-45-00;65;37;28
2015-06-09-19-00-00;49;27;22
2015-06-09-19-15-00;47;20;27
2015-06-09-19-30-00;49;19;30
2015-06-09-19-45-00;40;19;21
2015-06-09-20-00-00;41;17;24
2015-06-09-20-15-00;36;13;23
2015-06-09-20-30-00;27;11;16
2015-06-09-20-45-00;21;4;17
2015-06-09-21-00-00;17;4;13
2015-06-09-21-15-00;17;5;12
2015-06-09-21-30-00;26;9;17
2015-06-09-21-45-00;17;4;13
2015-06-09-22-00-00;21;8;13
2015-06-09-22-15-00;16;5;11
2015-06-09-22-30-00;9;4;5
2015-06-09-22-45-00;6;5;1
2015-06-09-23-00-00;6;3;3
2015-06-09-23-15-00;10;3;7
2015-06-09-23-30-00;11;4;7
2015-06-09-23-45-00;7;2;5
2015-06-10-00-00-00;2;1;1
2015-06-10-00-15-00;2;0;2
2015-06-10-00-30-00;0;0;0
2015-06-10-00-45-00;1;1;0
2015-06-10-01-00-00;0;0;0
2015-06-10-01-15-00;0;0;0
2015-06-10-01-30-00;0;0;0
2015-06-10-01-45-00;0;0;0
2015-06-10-02-00-00;0;0;0
2015-06-10-02-15-00;0;0;0
2015-06-10-02-30-00;0;0;0
2015-06-10-02-45-00;0;0;0
2015-06-10-03-00-00;3;2;1
2015-06-10-03-15-00;1;1;0
2015-06-10-03-30-00;1;0;1
2015-06-10-03-45-00;0;0;0
2015-06-10-04-00-00;1;1;0
2015-06-10-04-15-00;1;1;0
2015-06-10-04-30-00;1;1;0
2015-06-10-04-45-00;0;0;0
2015-06-10-05-00-00;0;0;0
2015-06-10-05-15-00;2;2;0
2015-06-10-05-30-00;6;3;3
2015-06-10-05-45-00;8;4;4
2015-06-10-06-00-00;12;8;4
2015-06-10-06-15-00;24;13;11
2015-06-10-06-30-00;25;16;9
2015-06-10-06-45-00;27;12;15
2015-06-10-07-00-00;27;17;10
2015-06-10-07-15-00;57;32;25
2015-06-10-07-30-00;98;43;55
2015-06-10-07-45-00;69;35;34
2015-06-10-08-00-00;99;43;56
2015-06-10-08-15-00;102;44;58
2015-06-10-08-30-00;126;51;75
2015-06-10-08-45-00;114;47;67
2015-06-10-09-00-00;86;35;51
2015-06-10-09-15-00;65;21;44
2015-06-10-09-30-00;52;29;23
2015-06-10-09-45-00;48;28;20
2015-06-10-10-00-00;29;12;17
2015-06-10-10-15-00;30;18;12
2015-06-10-10-30-00;35;16;19
2015-06-10-10-45-00;38;18;20
2015-06-10-11-00-00;32;20;12
2015-06-10-11-15-00;26;14;12
2015-06-10-11-30-00;37;23;14
