 ;5.13 BN - Wilhelm-Spiritus-Ufer ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Süden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Norden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Süden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Norden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Süden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Norden
2016-01-20-06-15-00;6;4;0;0;2;0;0
2016-01-20-06-30-00;6;1;0;0;5;0;0
2016-01-20-06-45-00;13;4;0;0;9;0;0
2016-01-20-07-00-00;22;5;0;0;17;0;0
2016-01-20-07-15-00;19;6;0;0;13;0;0
2016-01-20-07-30-00;31;9;0;1;21;0;0
2016-01-20-07-45-00;50;13;0;0;37;0;0
2016-01-20-08-00-00;48;13;1;0;34;0;0
2016-01-20-08-15-00;49;9;1;1;38;0;0
2016-01-20-08-30-00;56;14;1;0;41;0;0
2016-01-20-08-45-00;60;12;1;0;47;0;0
2016-01-20-09-00-00;38;4;5;0;29;0;0
2016-01-20-09-15-00;24;5;0;0;19;0;0
2016-01-20-09-30-00;16;2;1;0;13;0;0
2016-01-20-09-45-00;15;4;0;2;9;0;0
2016-01-20-10-00-00;13;5;0;0;8;0;0
2016-01-20-10-15-00;5;2;0;0;3;0;0
2016-01-20-10-30-00;7;2;0;0;5;0;0
2016-01-20-10-45-00;4;2;0;1;1;0;0
2016-01-20-11-00-00;11;4;0;0;7;0;0
2016-01-20-11-15-00;5;2;1;0;2;0;0
2016-01-20-11-30-00;3;3;0;0;0;0;0
2016-01-20-11-45-00;9;5;0;1;3;0;0
2016-01-20-12-00-00;9;6;0;0;3;0;0
2016-01-20-12-15-00;5;4;0;0;1;0;0
2016-01-20-12-30-00;13;6;0;0;7;0;0
2016-01-20-12-45-00;11;5;1;0;5;0;0
2016-01-20-13-00-00;8;2;0;0;6;0;0
2016-01-20-13-15-00;12;3;0;1;8;0;0
2016-01-20-13-30-00;13;3;0;1;9;0;0
2016-01-20-13-45-00;17;3;0;0;14;0;0
2016-01-20-14-00-00;9;5;0;0;4;0;0
2016-01-20-14-15-00;14;5;1;1;7;0;0
2016-01-20-14-30-00;7;1;0;0;6;0;0
2016-01-20-14-45-00;9;3;0;0;6;0;0
2016-01-20-15-00-00;12;3;2;0;7;0;0
2016-01-20-15-15-00;10;6;0;0;4;0;0
2016-01-20-15-30-00;12;7;0;0;5;0;0
2016-01-20-15-45-00;13;7;0;0;6;0;0
2016-01-20-16-00-00;22;13;1;0;8;0;0
2016-01-20-16-15-00;31;20;1;1;9;0;0
2016-01-20-16-30-00;26;17;0;1;8;0;0
2016-01-20-16-45-00;28;16;1;0;11;0;0
2016-01-20-17-00-00;33;23;0;1;9;0;0
2016-01-20-17-15-00;42;30;0;1;11;0;0
2016-01-20-17-30-00;39;27;0;3;9;0;0
2016-01-20-17-45-00;40;29;1;1;9;0;0
2016-01-20-18-00-00;34;28;0;3;3;0;0
2016-01-20-18-15-00;31;20;1;2;8;0;0
2016-01-20-18-30-00;38;31;1;3;3;0;0
2016-01-20-18-45-00;21;12;1;1;7;0;0
2016-01-20-19-00-00;17;9;0;2;6;0;0
2016-01-20-19-15-00;15;12;0;0;3;0;0
2016-01-20-19-30-00;21;9;0;3;9;0;0
2016-01-20-19-45-00;12;8;0;2;2;0;0
2016-01-20-20-00-00;10;8;0;2;0;0;0
2016-01-20-20-15-00;7;4;1;0;2;0;0
2016-01-20-20-30-00;8;6;0;1;1;0;0
2016-01-20-20-45-00;3;1;1;0;1;0;0
2016-01-20-21-00-00;1;1;0;0;0;0;0
2016-01-20-21-15-00;0;0;0;0;0;0;0
2016-01-20-21-30-00;4;0;0;0;4;0;0
2016-01-20-21-45-00;1;0;0;0;1;0;0
2016-01-20-22-00-00;4;4;0;0;0;0;0
2016-01-20-22-15-00;3;0;0;0;3;0;0
2016-01-20-22-30-00;3;1;0;1;1;0;0
2016-01-20-22-45-00;2;1;0;0;1;0;0
2016-01-20-23-00-00;3;1;0;0;2;0;0
2016-01-20-23-15-00;2;0;0;0;2;0;0
2016-01-20-23-30-00;0;0;0;0;0;0;0
