 ;5.14 BN - Mc Cloy Weg ;5.14 BN - Mc Cloy Weg Radfahrer Ri. Remagen ;5.14 BN - Mc Cloy Weg Radfahrer Ri. Bonn ;5.14 BN - Mc Cloy Weg Radfahrer Ri. Remagen ;5.14 BN - Mc Cloy Weg Radfahrer Ri. Bonn
2016-01-17-11-30-00;0;0;0;0;0
2016-01-17-11-45-00;6;2;2;0;2
2016-01-17-12-00-00;2;0;0;0;2
2016-01-17-12-15-00;11;4;3;1;3
2016-01-17-12-30-00;2;1;0;0;1
2016-01-17-12-45-00;5;1;3;0;1
2016-01-17-13-00-00;1;1;0;0;0
2016-01-17-13-15-00;5;1;3;0;1
2016-01-17-13-30-00;13;7;1;0;5
2016-01-17-13-45-00;10;4;2;0;4
2016-01-17-14-00-00;10;4;2;1;3
2016-01-17-14-15-00;4;3;0;0;1
2016-01-17-14-30-00;3;1;0;0;2
2016-01-17-14-45-00;6;3;2;1;0
2016-01-17-15-00-00;2;1;0;0;1
2016-01-17-15-15-00;2;1;0;0;1
2016-01-17-15-30-00;0;0;0;0;0
2016-01-17-15-45-00;4;2;1;0;1
2016-01-17-16-00-00;6;2;1;0;3
2016-01-17-16-15-00;6;1;1;1;3
2016-01-17-16-30-00;7;5;1;0;1
2016-01-17-16-45-00;2;2;0;0;0
2016-01-17-17-00-00;5;3;0;0;2
2016-01-17-17-15-00;2;1;0;0;1
2016-01-17-17-30-00;1;1;0;0;0
2016-01-17-17-45-00;2;1;1;0;0
2016-01-17-18-00-00;1;0;0;0;1
2016-01-17-18-15-00;1;1;0;0;0
2016-01-17-18-30-00;1;0;1;0;0
2016-01-17-18-45-00;2;1;1;0;0
2016-01-17-19-00-00;1;1;0;0;0
2016-01-17-19-15-00;0;0;0;0;0
2016-01-17-19-30-00;1;1;0;0;0
2016-01-17-19-45-00;0;0;0;0;0
2016-01-17-20-00-00;0;0;0;0;0
2016-01-17-20-15-00;0;0;0;0;0
2016-01-17-20-30-00;0;0;0;0;0
2016-01-17-20-45-00;0;0;0;0;0
2016-01-17-21-00-00;0;0;0;0;0
2016-01-17-21-15-00;0;0;0;0;0
2016-01-17-21-30-00;0;0;0;0;0
2016-01-17-21-45-00;1;1;0;0;0
2016-01-17-22-00-00;2;0;2;0;0
2016-01-17-22-15-00;0;0;0;0;0
2016-01-17-22-30-00;0;0;0;0;0
2016-01-17-22-45-00;0;0;0;0;0
2016-01-17-23-00-00;0;0;0;0;0
2016-01-17-23-15-00;0;0;0;0;0
2016-01-17-23-30-00;0;0;0;0;0
