time,Kennedybruecke (Nord) Ri. Innenstadt,Kennedybruecke (Nord) Ri. Beuel,days
2018-05-01 14:00:00,21,8,2018-05-01
2018-05-01 14:15:00,28,7,2018-05-01
2018-05-01 14:30:00,23,5,2018-05-01
2018-05-01 14:45:00,26,6,2018-05-01
2018-05-01 15:00:00,21,5,2018-05-01
2018-05-01 15:15:00,21,10,2018-05-01
2018-05-01 15:30:00,28,10,2018-05-01
2018-05-01 15:45:00,29,12,2018-05-01
2018-05-01 16:00:00,12,4,2018-05-01
2018-05-01 16:15:00,27,15,2018-05-01
2018-05-01 16:30:00,25,12,2018-05-01
2018-05-01 16:45:00,36,7,2018-05-01
2018-05-01 17:00:00,28,12,2018-05-01
2018-05-01 17:15:00,20,4,2018-05-01
2018-05-01 17:30:00,29,6,2018-05-01
2018-05-01 17:45:00,16,12,2018-05-01
2018-05-01 18:00:00,12,8,2018-05-01
2018-05-01 18:15:00,20,7,2018-05-01
2018-05-01 18:30:00,31,7,2018-05-01
2018-05-01 18:45:00,30,9,2018-05-01
2018-05-01 19:00:00,24,5,2018-05-01
2018-05-01 19:15:00,17,9,2018-05-01
2018-05-01 19:30:00,20,4,2018-05-01
2018-05-01 19:45:00,15,5,2018-05-01
2018-05-01 20:00:00,17,3,2018-05-01
2018-05-01 20:15:00,14,3,2018-05-01
2018-05-01 20:30:00,8,7,2018-05-01
2018-05-01 20:45:00,6,2,2018-05-01
2018-05-01 21:00:00,8,5,2018-05-01
2018-05-01 21:15:00,3,3,2018-05-01
2018-05-01 21:30:00,5,3,2018-05-01
2018-05-01 21:45:00,2,3,2018-05-01
2018-05-01 22:00:00,8,1,2018-05-01
2018-05-01 22:15:00,2,6,2018-05-01
2018-05-01 22:30:00,4,6,2018-05-01
2018-05-01 22:45:00,1,1,2018-05-01
2018-05-01 23:00:00,8,1,2018-05-01
2018-05-01 23:15:00,5,4,2018-05-01
2018-05-01 23:30:00,2,4,2018-05-01
2018-05-01 23:45:00,7,2,2018-05-01
2018-06-01 00:00:00,8,1,2018-06-01
2018-06-01 00:15:00,8,5,2018-06-01
2018-06-01 00:30:00,2,2,2018-06-01
2018-06-01 00:45:00,0,2,2018-06-01
2018-06-01 01:00:00,4,2,2018-06-01
2018-06-01 01:15:00,1,1,2018-06-01
2018-06-01 01:30:00,2,4,2018-06-01
2018-06-01 01:45:00,2,1,2018-06-01
2018-06-01 02:00:00,3,0,2018-06-01
2018-06-01 02:15:00,2,0,2018-06-01
2018-06-01 02:30:00,0,1,2018-06-01
2018-06-01 02:45:00,1,0,2018-06-01
2018-06-01 03:00:00,1,1,2018-06-01
2018-06-01 03:15:00,0,0,2018-06-01
2018-06-01 03:30:00,2,0,2018-06-01
2018-06-01 03:45:00,0,0,2018-06-01
2018-06-01 04:00:00,0,0,2018-06-01
2018-06-01 04:15:00,0,0,2018-06-01
2018-06-01 04:30:00,0,1,2018-06-01
2018-06-01 04:45:00,1,0,2018-06-01
2018-06-01 05:00:00,2,0,2018-06-01
2018-06-01 05:15:00,1,0,2018-06-01
2018-06-01 05:30:00,2,0,2018-06-01
2018-06-01 05:45:00,0,0,2018-06-01
2018-06-01 06:00:00,1,0,2018-06-01
2018-06-01 06:15:00,3,0,2018-06-01
2018-06-01 06:30:00,5,0,2018-06-01
2018-06-01 06:45:00,2,1,2018-06-01
2018-06-01 07:00:00,4,0,2018-06-01
2018-06-01 07:15:00,3,2,2018-06-01
2018-06-01 07:30:00,4,0,2018-06-01
2018-06-01 07:45:00,2,0,2018-06-01
2018-06-01 08:00:00,2,0,2018-06-01
2018-06-01 08:15:00,1,0,2018-06-01
2018-06-01 08:30:00,5,2,2018-06-01
2018-06-01 08:45:00,8,5,2018-06-01
2018-06-01 09:00:00,10,3,2018-06-01
2018-06-01 09:15:00,11,0,2018-06-01
2018-06-01 09:30:00,14,3,2018-06-01
2018-06-01 09:45:00,17,3,2018-06-01
2018-06-01 10:00:00,6,0,2018-06-01
2018-06-01 10:15:00,8,5,2018-06-01
2018-06-01 10:30:00,17,4,2018-06-01
2018-06-01 10:45:00,17,5,2018-06-01
2018-06-01 11:00:00,9,5,2018-06-01
2018-06-01 11:15:00,21,3,2018-06-01
2018-06-01 11:30:00,24,9,2018-06-01
2018-06-01 11:45:00,27,7,2018-06-01
2018-06-01 12:00:00,9,6,2018-06-01
2018-06-01 12:15:00,19,4,2018-06-01
2018-06-01 12:30:00,18,6,2018-06-01
2018-06-01 12:45:00,29,6,2018-06-01
2018-06-01 13:00:00,20,6,2018-06-01
2018-06-01 13:15:00,26,4,2018-06-01
2018-06-01 13:30:00,21,6,2018-06-01
2018-06-01 13:45:00,29,7,2018-06-01
2018-06-01 14:00:00,11,10,2018-06-01
2018-06-01 14:15:00,23,4,2018-06-01
2018-06-01 14:30:00,22,7,2018-06-01
2018-06-01 14:45:00,22,4,2018-06-01
2018-06-01 15:00:00,15,7,2018-06-01
2018-06-01 15:15:00,16,10,2018-06-01
2018-06-01 15:30:00,11,3,2018-06-01
2018-06-01 15:45:00,24,6,2018-06-01
2018-06-01 16:00:00,14,4,2018-06-01
2018-06-01 16:15:00,15,7,2018-06-01
2018-06-01 16:30:00,14,4,2018-06-01
2018-06-01 16:45:00,16,5,2018-06-01
2018-06-01 17:00:00,15,9,2018-06-01
2018-06-01 17:15:00,12,3,2018-06-01
2018-06-01 17:30:00,9,1,2018-06-01
2018-06-01 17:45:00,7,3,2018-06-01
2018-06-01 18:00:00,11,5,2018-06-01
2018-06-01 18:15:00,12,2,2018-06-01
2018-06-01 18:30:00,11,2,2018-06-01
2018-06-01 18:45:00,10,2,2018-06-01
2018-06-01 19:00:00,16,4,2018-06-01
2018-06-01 19:15:00,11,7,2018-06-01
2018-06-01 19:30:00,12,6,2018-06-01
2018-06-01 19:45:00,12,2,2018-06-01
2018-06-01 20:00:00,11,5,2018-06-01
2018-06-01 20:15:00,10,1,2018-06-01
2018-06-01 20:30:00,11,3,2018-06-01
2018-06-01 20:45:00,11,5,2018-06-01
2018-06-01 21:00:00,13,5,2018-06-01
2018-06-01 21:15:00,7,2,2018-06-01
2018-06-01 21:30:00,4,0,2018-06-01
2018-06-01 21:45:00,3,0,2018-06-01
2018-06-01 22:00:00,4,0,2018-06-01
2018-06-01 22:15:00,2,2,2018-06-01
2018-06-01 22:30:00,6,4,2018-06-01
2018-06-01 22:45:00,3,1,2018-06-01
2018-06-01 23:00:00,11,2,2018-06-01
2018-06-01 23:15:00,8,5,2018-06-01
